Id,Name,Is_dm
wNxdqGjOR,Parker LLC,True
lym,"Turner, Hall and Williams",True
ECtNwKyWg,Nolan-Vaughan,False
KYPvJOtUA,"Hill, Curry and Chambers",True
hj,Taylor-Price,False
uACtPYvKX,"Moore, Livingston and Stout",False
QjzGBoH,Curry Ltd,False
yfVevoa,"Richard, Cherry and Johnson",False
QBQA,"Parks, Morse and Barron",True
hfHR,"Callahan, Conley and Booth",True
rzR,Rodriguez PLC,False
uBvtb,King-Raymond,True
dHwNMEOyH,"Rogers, Williams and Griffin",False
fwPSjLQ,"Thompson, Chandler and Pittman",False
bLTMSi,Mitchell-Huff,True
yOkJndkz,"Davis, Weeks and Buck",False
cCrDOu,Martinez LLC,False
RDsP,"Mcclure, Finley and Ballard",True
khvCAxrbEH,Anderson Inc,True
HRzNvmyH,"Stewart, Greene and Johnson",True
zYozlJcIOu,"Fisher, Lozano and Brandt",True
kUAhLko,Matthews-Bates,False
gyjyO,Rogers-Cunningham,False
RL,"Lopez, Browning and Parrish",False
AOLaXd,"Aguirre, Gallagher and Schultz",False
GeATFGsPE,"Deleon, Smith and Wilson",False
gXo,Logan PLC,False
nNJfPrpIX,Beck-Gibson,False
iVWVCYQ,Howell and Sons,True
TCDSuTKLG,Jones and Sons,True
QEfeaQlO,"Anderson, Holloway and Gibson",False
zfkZDRhWYR,"Lopez, Smith and Wilkinson",False
YgoF,Hammond-Rivers,False
aBupYmekES,"Griffin, Salazar and Patel",True
SsNlo,Lambert-Chen,False
oWlKTjS,King-Baker,True
uYkRT,Holmes LLC,True
DUSmm,"Trujillo, Nunez and Turner",False
GZrBV,Roth-Sherman,True
qpzstnI,Malone Inc,True
YKLcWCUtL,"Brandt, Pacheco and Thomas",True
nCleQzXcJ,"Griffith, Sanders and Sanchez",True
EwUQgCY,Wright LLC,False
NiADNVF,"Wright, Trujillo and Washington",False
IDuJdlY,Hernandez Group,True
jDX,Mcgee and Sons,True
laGJ,George-Herrera,True
BDeuTprqnd,"Rodriguez, Sanchez and Johnson",True
PPW,Smith-Le,False
PsuCrx,Robertson Group,True
tEYyTKg,Adams-Short,True
BCJwmX,"Paul, Manning and Pierce",False
iKwvRW,Murphy-Whitehead,True
xnBJQt,Roberts PLC,False
BRNNMClg,Moore-Lawrence,False
mpFoDuX,Griffin Ltd,False
kl,Graves and Sons,True
fO,Merritt Ltd,False
EUuhpKYVL,Keller Ltd,True
UiOjR,Anderson Ltd,False
hvpjp,Parker-Keller,True
EIp,Webb-Jones,False
uJWJbGCXX,Smith LLC,True
LuHorlpu,"Dorsey, Maldonado and Barrett",True
vBV,"Mcconnell, Ayers and Stone",True
gzGuchDFuF,Foley-Mitchell,True
yLB,"Payne, Reed and Warren",True
CcdLSM,Rice and Sons,True
yzQdyN,Griffin Ltd,False
VkZlaC,Clark-Anderson,True
pCrjQSaS,Gonzalez Inc,True
dwEEOis,Johnson-Oliver,True
jGLgl,"Jones, Roman and Buchanan",False
ay,Davis Ltd,True
ivmNnMLsk,Obrien-Ward,False
WpWQyDZf,Walker PLC,False
Wlw,"Brown, Davis and Leon",True
kqRwwWMkV,"Delgado, Lester and Ferguson",False
NEFQNuV,"Avila, Pierce and Mcintyre",False
VvW,Johnson-Avila,True
BuHmzQg,Foster-Mueller,False
QZmcEYKsy,"Neal, Klein and Fischer",True
RavGpDA,Haas-Proctor,True
gtj,"Washington, Harrison and Jackson",False
LtTWEBTSBM,Moran-Salas,True
NVeqOWhPDm,Cardenas-Hart,False
oflPWyI,"Fernandez, Mann and Henderson",True
oL,Cobb LLC,True
yyiSi,Ramirez and Sons,False
LsfcmHuAUz,Webster-Valencia,False
YaMSIkbbhc,Anderson-Martin,True
ptDyEkLz,Trujillo Inc,False
