FollowerTag,FollowedTag,TimeStamp,IsMuted,NotificationsActive
brittanyreed,joshuaobrien,2024-01-25T05:39:45,False,True
heather84,jennifergillespie,2021-07-19T19:11:27,True,False
kyleparrish,joshua44,2021-05-22T07:28:59,False,True
alexaewing,pattersonkristine,2022-03-16T11:59:53,False,True
keithjohnson,garciarichard,2022-11-16T22:38:30,True,False
spratt,shawn13,2021-12-22T10:44:39,False,True
michael27,george94,2022-03-08T06:27:47,True,False
jacquelinejohnston,johnwelch,2022-03-20T02:23:30,True,False
danielskimberly,richardtaylor,2023-05-28T02:14:37,True,False
michelle62,weavermelissa,2021-01-02T03:58:07,True,False
riverajames,stevensoncraig,2021-09-30T18:57:07,True,False
monica17,gabriellaburke,2021-12-11T07:18:48,True,False
bettymunoz,tammymueller,2021-11-17T08:08:11,True,False
westwayne,hernandezkaren,2022-07-16T04:42:19,True,False
thompsonrachel,anthony69,2021-05-07T17:12:10,True,False
tiffany93,jesse38,2021-07-27T02:06:30,True,False
hmiller,laurenrowe,2023-03-11T16:46:47,True,False
vaughnjonathan,smithandrea,2020-01-23T00:14:01,True,False
alvarezrobert,kwilliams,2021-07-02T22:41:41,False,True
richardpeters,anita20,2024-02-01T18:42:11,False,True
ericaday,sheri35,2022-09-09T09:46:44,False,True
oscott,patelrobert,2022-09-14T19:35:08,False,True
nthompson,joanne99,2020-10-01T06:50:53,True,False
james26,smithraven,2024-01-11T00:29:14,False,True
alyssafrancis,nicholas06,2021-07-28T22:16:36,False,True
smartin,gonzalesjason,2022-03-19T15:40:58,False,True
middletonmichael,weaverwilliam,2021-07-05T15:25:59,True,False
xsmith,perezangela,2021-12-25T04:50:47,False,True
markcrawford,kathryn00,2020-02-19T16:03:31,True,False
sarabarnes,whitneytucker,2020-09-10T18:49:21,True,False
gwatson,michaelpark,2020-09-28T23:25:25,False,True
kennethgray,pliu,2020-08-22T14:47:47,True,False
bradley34,jamesmatthews,2022-06-29T04:49:55,False,True
jasongarcia,wuamy,2021-08-19T02:32:53,True,False
amorgan,jeffrey71,2020-11-21T02:08:25,False,True
martineztiffany,victoria73,2020-01-05T02:22:33,True,False
dennisphelps,alexander31,2023-11-24T08:52:47,False,True
cgarcia,gregoryblair,2023-01-23T20:40:21,True,False
anthonyallen,jennifer70,2023-02-25T05:04:40,True,False
carolnguyen,sean42,2020-06-18T06:20:28,False,True
richardsonshawn,tatejohnny,2023-12-25T07:04:26,True,False
steven26,xkelley,2021-08-13T07:52:03,False,True
brownapril,sandra34,2020-02-18T13:03:39,False,True
michellefoster,broberts,2023-04-10T04:57:22,False,True
william60,pamela73,2023-12-19T22:58:52,True,False
nbarajas,traceycohen,2020-02-05T09:27:11,False,True
adamsemily,shannonedwards,2020-09-29T09:30:12,True,False
stewartjillian,kentholly,2020-11-30T21:43:56,True,False
flane,susan88,2021-01-02T03:06:34,False,True
jenniferlane,qpratt,2021-05-03T23:46:43,True,False
laraalexandra,wheelersteven,2020-06-27T02:17:56,True,False
meyersreginald,sarah25,2020-11-30T06:47:59,False,True
jessicalee,ricardo09,2021-07-28T10:27:07,True,False
joseph82,fryedward,2021-09-10T13:09:24,False,True
haley79,wesley90,2020-10-10T19:58:07,False,True
pattersonricky,nancy70,2023-01-03T00:58:09,True,False
ablackwell,johnnyowens,2020-11-13T05:34:52,False,True
mortonlindsey,courtneygaines,2023-06-21T20:05:50,False,True
mckinneyxavier,donaldnelson,2022-05-26T01:20:23,False,True
bruce21,robin11,2022-12-03T05:56:53,False,True
josephangela,davismarcus,2024-02-06T05:17:29,False,True
nguyendawn,anna26,2020-09-14T18:32:14,True,False
eric87,ashaw,2024-03-04T22:22:51,False,True
brianna50,gordonchad,2021-03-16T12:56:05,True,False
fmitchell,stephensmicheal,2020-06-08T20:31:46,True,False
moorerita,wsmith,2020-09-07T06:21:59,True,False
travisnelson,fsherman,2023-01-27T16:18:03,True,False
christymorris,sloanbrenda,2022-11-26T01:15:33,True,False
yanggregory,madison62,2023-02-04T10:46:20,True,False
burnsmorgan,victoria70,2021-12-17T15:23:45,True,False
fhenderson,melissa18,2021-09-11T05:55:57,False,True
loridaniels,gfox,2021-05-07T08:45:39,True,False
austin42,xavier38,2021-03-05T22:17:04,False,True
fuentesaaron,shernandez,2023-05-21T23:16:16,True,False
herreralisa,blakecameron,2021-10-18T08:03:18,True,False
petersensarah,lroberts,2024-01-27T01:55:02,True,False
pearsonshaun,keith71,2021-09-10T07:44:29,True,False
davidhayes,harry57,2020-12-29T03:59:36,False,True
sblackwell,cookheidi,2023-04-30T14:50:24,False,True
austin24,gjenkins,2021-06-03T14:44:46,True,False
tford,johnadkins,2021-03-05T06:40:18,False,True
luisjohnson,vanessanguyen,2023-03-09T13:02:38,True,False
bradleymccoy,jcooper,2021-04-19T19:30:59,False,True
wkline,fhale,2022-03-09T15:11:02,True,False
pearsonshaun,nathanromero,2023-05-20T02:48:11,False,True
rhodesdarrell,daniel45,2024-02-26T09:50:10,False,True
james25,moraemily,2021-01-11T05:26:44,True,False
teresavaughn,allenjohn,2024-01-08T04:49:31,True,False
dnguyen,gshepard,2023-07-21T08:37:05,False,True
lucas58,qrivera,2022-02-24T07:08:30,True,False
omoore,tbaird,2020-05-26T19:06:28,True,False
buckjenny,umoore,2021-12-26T21:39:52,False,True
justin30,frankewing,2021-09-22T23:47:02,True,False
jessica11,jcooper,2020-09-16T12:22:08,False,True
andrew18,larmstrong,2021-10-01T02:44:57,False,True
georgejared,dillonrussell,2022-12-26T12:04:34,True,False
