UserTag,TweetId,TimeStamp,Device,OS
lmelendez,RVf,2022-09-18,Web,macOS
amandarocha,RvxdOZA,2021-04-02,iPad,iOS
josephbell,TX,2024-01-01,Desktop,iOS
shawwilliam,ixXtzL,2022-02-06,Web,Android
juliemarquez,UCouC,2023-01-06,iPad,macOS
james42,KdFPSF,2022-04-06,iPhone,iOS
fharrison,XQMshPSr,2020-07-29,iPad,Linux
bennettjames,pqx,2024-01-18,Android,iOS
guerrerosamuel,MBm,2021-10-10,Desktop,iOS
jon23,Fe,2020-02-14,Desktop,macOS
mistyfrank,wxSzCenkCz,2022-12-28,iPhone,macOS
jcooper,epaK,2020-11-18,Android,iOS
buckdawn,SlozUccN,2022-07-31,iPhone,macOS
christina35,ZUqNA,2022-01-06,Desktop,Linux
david32,dZd,2022-10-06,iPad,Windows
ujones,zYzHxpsy,2021-02-07,Desktop,Linux
fosterann,eLePgr,2023-10-26,Web,iOS
dwang,gJiDwFlMdx,2022-12-20,Web,macOS
davisdouglas,qWCvJHnfS,2023-06-17,Web,Windows
paullopez,GShlGimr,2022-06-20,Web,macOS
donnajones,kyJXDl,2023-09-16,Android,macOS
craigstewart,BvvywWAy,2022-05-12,Web,iOS
michaelfoster,roXFxsr,2022-04-27,iPhone,iOS
wendylopez,WhlfkWqmXS,2021-10-03,Web,macOS
janet66,Xm,2023-05-12,Desktop,Linux
youngdiana,VJqdkqdpR,2020-11-03,iPhone,iOS
waltersnancy,rOsznE,2023-10-30,Android,Linux
abarnes,WoHErmCz,2022-03-05,iPhone,iOS
tylergill,SLteW,2021-08-26,iPhone,Android
rfoster,ODAmG,2023-10-22,iPhone,Windows
alejandro88,TbtXV,2022-07-28,Web,iOS
mortoncrystal,fIw,2021-08-02,Desktop,Linux
scott72,rjANfEv,2024-02-15,iPad,Linux
dawnherrera,TTX,2020-11-17,Desktop,Linux
robertbennett,WlqEnHPSp,2022-03-20,Android,Linux
mcfarlanddaniel,GqlOiXRO,2023-12-29,Android,Windows
fcook,eEv,2020-05-01,iPhone,Android
darrellbishop,OHRAoCl,2021-05-11,Web,Android
andrewmayer,UR,2021-05-30,Desktop,iOS
scottatkinson,em,2021-06-02,iPhone,Linux
bonnie32,IfdNIz,2020-05-20,Desktop,iOS
johnreeves,FT,2023-06-20,iPad,macOS
sydney51,EKbbjAblX,2020-02-14,iPad,Android
rosejohnson,di,2023-10-26,Android,iOS
fergusonpaul,fIpqVJlXz,2022-09-03,Android,macOS
lewishannah,fMNVw,2020-07-14,Web,Android
sblackwell,TTX,2021-05-19,Web,iOS
amberadams,tCupudL,2023-06-01,Android,Linux
stephaniebradley,mTEcofLtG,2023-12-21,Desktop,Windows
steven80,xoDbKz,2021-11-16,Web,iOS
walkerdenise,DN,2023-02-03,iPad,iOS
ftorres,SOkVQaX,2023-02-17,iPad,iOS
smithkatherine,zXteXXJ,2021-12-16,Android,macOS
xchaney,lZtOp,2022-12-20,iPhone,macOS
jamiecooper,vOuTO,2024-02-28,iPhone,iOS
rhondaodom,CPsedLEf,2020-03-03,Desktop,iOS
keithmays,HzUoBnJHp,2020-07-18,iPhone,Android
uguzman,uynuq,2020-05-02,Android,Linux
brownandrea,bYWeP,2024-01-14,iPad,macOS
jeremy11,JHBTBAobho,2022-03-14,Desktop,Android
lindahoward,LfZ,2020-09-29,Android,macOS
eyoung,VFKOjR,2024-03-15,iPad,Linux
krobinson,LVIh,2023-11-26,iPhone,iOS
johnnyowens,WRub,2023-06-19,iPhone,Windows
hailey54,iTBKgkof,2020-12-24,iPhone,Linux
knapppatrick,dKEExdvhHS,2020-01-10,iPhone,Linux
rodriguezleslie,oScMH,2024-04-08,Web,Linux
huertakelly,LvfDyfLK,2021-03-26,iPhone,macOS
jasongarcia,HYlI,2021-07-24,iPhone,macOS
hernandezkaren,rhHXTCLtAj,2020-01-28,Desktop,iOS
jacksonpamela,ic,2023-08-02,iPad,iOS
samuelwells,FEQDoK,2021-06-16,iPad,macOS
johnathanbridges,iN,2021-08-04,Desktop,macOS
benderjeffrey,XKCPiaRZ,2021-05-25,Web,Windows
wking,BRn,2020-08-24,iPhone,iOS
kempkathleen,AClYc,2020-01-24,Web,iOS
randrews,cMUaIza,2020-07-02,Desktop,macOS
garnerjennifer,JfuKq,2023-01-16,iPad,Android
patelmelissa,eAthBcOVI,2022-05-16,iPhone,iOS
kevinlee,NhTAkv,2023-08-08,Desktop,Windows
janet66,noLOF,2023-02-05,Desktop,Linux
ymiller,GQYnIdyi,2021-10-01,Desktop,macOS
graymary,HiXxnCF,2023-04-13,Android,macOS
johnnyjohnson,kopeYKe,2023-04-17,iPhone,Windows
lriley,eYheos,2020-08-14,iPad,macOS
