UserTag,LocationId,TimeStamp,CurrentlyIn,LivesThere
jessicawalsh,fGrPdbgH,2021-07-06T11:39:48,False,True
castrostacy,ouaSCyM,2020-03-19T04:57:35,False,True
ystephens,Yi,2021-08-12T04:51:46,False,True
abenton,hozyg,2023-08-17T19:59:30,True,True
shawamanda,HU,2021-03-13T18:46:55,True,True
hernandezkaren,GT,2023-01-19T03:47:40,False,True
howellbrenda,eDQyFM,2021-02-18T06:38:18,True,True
jdavis,tFe,2022-01-03T15:06:42,False,True
vaguilar,RrstNgRVJ,2023-12-19T04:07:40,True,False
megan85,KHWf,2021-12-29T06:24:13,True,False
elizabeth40,hb,2021-02-02T08:47:09,True,False
madisonbarnes,BYMvZKz,2022-09-22T03:29:53,True,False
jeanette15,qs,2021-08-05T15:33:00,True,True
crosbymary,mEiNqZPa,2020-03-28T20:22:37,False,True
zchavez,sMUAnbPWBD,2024-01-24T10:37:54,False,True
richardsonshawn,FPRnrRtfW,2020-11-27T05:23:25,False,True
victoria70,sJZEp,2020-02-12T00:11:20,False,True
pjackson,KuEfVnNA,2020-06-18T06:10:07,False,True
kyle63,CZm,2022-05-31T07:08:31,False,True
michaelhays,VvZMRBfe,2020-07-07T16:47:11,True,True
johnsonkevin,sh,2020-03-30T21:50:32,False,True
ksmith,UkN,2022-12-08T06:12:53,False,True
cbenson,YYk,2022-10-18T06:39:11,False,True
kwolfe,RixFsQXcf,2020-09-13T17:43:33,False,True
jporter,DXa,2021-10-13T15:12:35,False,True
mcallahan,GNTOUp,2021-06-04T14:03:00,False,True
nathaniel69,Tf,2021-11-02T20:50:01,True,False
frank75,mNBGhm,2020-01-13T02:28:14,False,True
franciscodavid,BHTyzTj,2023-02-04T05:23:37,True,False
combsthomas,ppbV,2021-03-01T06:12:17,True,False
ydillon,msgjlPw,2021-04-06T09:26:59,True,True
njohnson,WfszCQNDq,2023-11-12T04:08:31,True,True
justin25,kjy,2023-05-05T02:24:39,False,True
tony86,qyakjNziY,2024-01-29T16:44:25,False,True
lunabriana,LjYfE,2022-01-06T01:53:48,True,True
xrobinson,Qa,2020-04-29T13:24:42,True,True
omorris,JUzDX,2022-05-05T03:41:03,False,True
lfaulkner,Fx,2020-07-07T16:38:17,False,True
jramirez,KfGg,2020-05-25T23:33:33,False,True
johnwelch,gPZ,2021-07-04T03:38:11,False,True
mitchellmichael,TXCDiu,2021-02-09T07:53:57,True,False
micheal54,doVImjma,2023-10-11T15:22:59,True,False
lisa46,wqAe,2021-01-11T14:12:41,False,True
valerie29,uYXfjXRiEu,2020-05-17T09:04:25,False,True
larrywilson,nDItMCi,2023-01-22T13:01:34,True,False
uyang,baBBUMhQ,2023-05-23T16:32:35,True,True
salazarshari,Jp,2020-05-29T13:51:39,False,True
jodijohnston,hLwQciBi,2020-07-29T10:21:19,False,True
jeffreyhill,LrwX,2021-12-18T10:21:07,True,False
vrobinson,kvMgoxNNp,2021-09-14T23:58:13,True,False
michaelkeith,kMHBvrgvPa,2020-01-12T21:40:05,False,True
tylermunoz,Bgb,2023-12-24T22:18:37,True,False
ojackson,JQqpbYmrWO,2020-12-22T05:26:22,True,True
bcollins,DhwNObIPz,2022-01-09T15:09:21,False,True
jsullivan,iunxC,2022-09-29T17:31:43,False,True
rebeccamorse,ASSRSoLo,2020-02-09T16:34:04,False,True
rossalexis,lgWmnFrFFl,2021-01-25T09:12:16,True,False
pmueller,dJkkZ,2023-07-03T20:50:57,True,True
millermary,CfKWCOcw,2022-07-13T17:43:59,False,True
rellis,UkN,2021-04-13T03:59:30,True,True
destinyadams,JJ,2022-03-19T10:16:45,True,False
armstrongcharles,EzLiHn,2021-11-28T20:42:09,True,True
rachael84,MLTGOX,2021-06-11T02:02:52,True,True
kaylasims,sFyONMGL,2021-11-02T09:50:13,True,True
gonzalescarly,wkRAwolRv,2021-05-30T08:43:48,True,True
joeford,cSTQcrc,2022-11-11T01:21:35,False,True
frenchjudy,hHtEg,2023-01-29T01:22:43,False,True
barnesronald,EbHEtF,2022-06-03T08:42:01,True,True
kimeric,OjS,2020-01-08T08:08:09,True,False
gibbslisa,yV,2020-11-19T19:09:46,True,True
harrismark,rrkr,2020-02-02T12:26:34,True,True
stephencooper,NkXNOkVBkS,2020-10-01T13:57:58,False,True
lisa29,Kkr,2024-03-27T06:34:38,True,True
amybrown,Tt,2024-03-05T07:11:24,True,True
qgonzales,nBjkdLT,2023-05-28T13:48:19,False,True
jeremysullivan,caWWsOPJ,2020-08-30T02:22:44,False,True
danielskimberly,iUEVa,2021-10-02T07:37:08,True,True
pguzman,gNRfb,2020-04-11T06:46:02,False,True
andrewkelley,mOLxzfX,2020-02-10T19:01:42,False,True
lauren97,ysghVD,2022-10-27T05:29:18,True,False
luis83,WJNVNEicr,2022-09-24T21:38:05,False,True
manningcharles,fb,2020-08-18T11:17:56,True,True
cookcatherine,NZpPtH,2020-09-23T14:04:06,False,True
operez,MtSZZT,2020-12-26T11:40:05,False,True
