Id,Name,Is_dm
GqNPNyW,Mullins-Short,True
mxxyF,Acosta-Anderson,True
gOAQfkOjRP,"Flores, Mcguire and Carpenter",False
HqDL,Garcia-Mclaughlin,True
Klf,Pugh Group,True
LUIQhXnmW,"Martin, Green and Keller",True
Mx,Acevedo-Kim,True
ndqE,Campos-Bush,False
SPhxvY,Anderson-Matthews,False
YPFnz,"Martin, George and Ryan",False
FT,Larson LLC,True
lCqa,Stark Group,True
Sgx,Evans LLC,True
FgHH,Bailey Ltd,False
dB,Anderson PLC,False
utOUUVi,Torres Group,True
OCM,Parker-Myers,False
EHbmRoccp,Henson-Alvarez,False
lTZ,Long-Olson,True
AKITLrO,Gonzalez-Thomas,False
TkxS,Drake-Jones,False
ILrb,Curtis Inc,True
GrOUpY,Schwartz-Harper,False
Pmaf,Evans-Russell,True
hRF,Snyder-Waller,False
nCkw,"Swanson, Wells and Johns",False
uyzeLNABJv,"Dickson, Smith and Wilson",False
KnGgt,"Mccarthy, Olson and Tucker",True
qAEbVZC,"Ray, Fisher and Williams",False
wxbuSR,"Hernandez, Wright and Bond",True
vNMGfH,Aguilar-Brandt,True
YMduXtzm,Gillespie Inc,True
JWaHQphcrB,"Hall, Salinas and Prince",True
pYJjq,"Tucker, Mitchell and Hooper",False
PyOKesC,"Smith, White and Jackson",False
nWlLZQGTR,Hicks-Miller,True
Ha,"Lopez, Lopez and Mcgrath",False
siCLgN,Benton-Martin,True
UfPEZVh,Carlson-Noble,False
LMJrBl,"Moore, Christensen and Decker",False
QkymBfwIBR,"Best, Watson and Norman",False
inFi,Carr-Shepherd,True
xnhvMtXiWe,Sullivan-Morris,False
NHJQ,Hernandez-Gutierrez,False
GxquDG,"Jordan, Taylor and Higgins",True
Zcm,Glenn PLC,False
eoDw,"Mathis, Jensen and Gould",True
IcIH,Coleman-Thornton,False
KNM,"Freeman, Brown and Johnson",True
IFObLOYY,"Scott, Jones and Jones",True
JxUdTEZr,Stone-Wood,False
JSXjlp,Myers-Rose,False
FmDGxGXTAb,Lindsey Inc,False
VjaKJS,Sims-Robinson,False
PANVjXAREt,"Sutton, Thompson and Wells",True
uCx,Wallace-Stafford,True
pkOTGyZL,Schneider-Hanna,True
mEN,Robinson-Harris,False
RKCqLud,Thomas Group,False
tecV,Davis Inc,True
qKqaORY,Ryan-Nelson,False
els,Davidson and Sons,True
WH,Martin-Kelly,False
RfyyAeOx,Hatfield-Ross,False
CKSyI,"Riley, Tucker and Cox",False
KJXZmbmJ,"Leblanc, Hanson and Salas",False
OCHdEYr,Moore-Little,False
EHM,Miller Inc,True
KF,Martin-Rowe,True
DCb,Hamilton-Richardson,False
aT,"Gonzalez, Vazquez and Scott",False
GFsyNiBwDY,Reeves Group,True
RCnquBOLmj,"Li, Garza and Jenkins",False
EQo,Garza LLC,True
IElXBV,Aguilar Ltd,True
eudD,Sparks PLC,False
hSbwHKU,"Myers, Davis and Riley",True
MUWY,Orr-Yates,False
vuh,"Torres, Jones and Smith",False
mFvPEiC,"Brown, Tanner and Webb",False
VtOukt,"Hernandez, Hampton and Guerrero",True
SdEoc,"Hunt, Frye and Cummings",True
geEt,White Inc,False
bDKJ,Powers-Santos,False
AwTu,Walker PLC,True
iqK,"Kidd, Walker and Young",False
MtQshi,Blake-Morrison,True
wSzV,Pacheco-Finley,True
dROcITjk,Johnson Ltd,True
LaDrsS,Long and Sons,True
cnNiAA,Molina Group,False
oDlbj,"Jones, Harrison and Chavez",False
mEReoFHi,Perkins-Stevens,True
YbENPm,"Bennett, Jones and White",True
ieRh,Johnson-Jones,True
XHzSUgwn,"Smith, Peck and Marshall",True
vpvu,Collins-Brown,False
lOMoz,Evans Group,True
xWy,Miller-Young,False
wgE,"Ortiz, Murphy and Johnson",False
XAmg,"Hopkins, Atkinson and Nguyen",False
pczLE,Goodman Ltd,True
ATw,"Terry, Weber and Vaughn",False
fBtgCWl,Morgan-Morris,False
BCFEGlKV,Moore Ltd,False
KUl,Thompson-Douglas,True
AQtURjN,Lara LLC,True
Tuq,Jones PLC,True
TmIHLGVix,Moore Ltd,False
syCuXNEjb,"Butler, Hernandez and Cunningham",True
Bt,"Schmidt, Thompson and Sharp",False
WJPGtqZwB,Miller Group,True
ISZS,"Rowe, Moore and Swanson",True
VHNVMQNV,Wood-Walters,False
bGSMvMbfzT,Wilson Ltd,True
zBvzW,Wong-Ferguson,True
hULJcmvN,"Kelly, Fox and Campbell",False
ZEIayzEqnR,Key PLC,False
Ky,"Williams, Thompson and Carroll",True
RKJxvfvKDM,Miller Ltd,False
jmPqU,Reyes LLC,True
DCorg,Thomas LLC,False
Pu,Pitts Group,True
ghFXj,"Rowe, Bruce and Simpson",False
rMzGHbf,Obrien-Ramirez,True
FdKq,Obrien Group,True
UjoByY,Murray Inc,True
hKHYAbExjM,Wood-Collins,False
MtNiKGPOcT,Rodriguez PLC,True
UDNKcQ,"Curry, Lopez and Flores",False
JI,"Chen, Sullivan and Ellis",False
kbOJMNm,"Gibbs, Keith and Bolton",True
AjdzuZ,Garcia LLC,True
KUfy,Williams-Gutierrez,True
ysdOTeQWU,"Adams, Sanchez and Holmes",False
NAvR,Pittman Inc,True
NoMsFuf,"Haynes, Barton and Norris",False
fiSSo,"Brown, Stevens and Luna",True
PfjSUSeb,Brown-Prince,True
GjTvH,"Hernandez, Mcgrath and Flores",False
duqnfkJCq,"Bailey, Smith and Calderon",False
YRXvOXrWX,West-Burnett,False
sDXNLnswUT,Wise-Harris,True
OftCSsDi,Mathews Ltd,False
Bo,Gutierrez Inc,False
CsSfVjMsAW,"Howell, Wagner and Clark",False
mQdsK,Harris-Daniels,False
NGsc,Bell-Mccann,True
lFuU,Arias and Sons,False
WTNmvRr,"Khan, Chang and Graham",True
bASxtxf,Hall PLC,False
BWFITHhcX,Mckee-Thomas,True
adUL,Wells-Maxwell,False
blKvZmP,Edwards-Davis,True
sJt,Glover Ltd,True
vXLoKbyc,Wagner-Jacobs,True
RdUFm,"Davis, Swanson and Williams",True
YmLTNK,"Wood, Adams and Livingston",True
QmR,Hunter-Sims,False
DYO,"Santos, Boone and Best",False
qvmSioK,Bryan-Torres,True
IvfS,Baker Inc,False
OvmVFMOD,Hayes-Ali,True
Qr,Rangel and Sons,True
XXR,Coleman-Willis,True
dVWZ,Rivas Group,True
HPu,"Young, Moran and Parker",False
xbGZC,King PLC,False
CSBEEUxV,Harmon Inc,True
tZDpzLvfOP,Pearson-Mullen,False
XlVtxZySp,Butler-Zimmerman,True
irem,Vasquez-Dennis,False
sWXLyx,"Hughes, James and Cunningham",True
DoIyGQfRH,Fischer Inc,False
OFHBPBis,Davis-Day,True
qITxPXtfmu,Tucker Ltd,True
NXrdzZ,"Taylor, Mack and Carter",False
tgtZoqT,Rivera-Booker,False
Jmr,"White, Sanchez and Ward",True
oRWjU,"Rose, Stout and Rodriguez",True
iKET,Krueger-Gibson,True
FrdP,Marshall-Johnson,True
FLXb,Davis Ltd,True
ptyna,Bates LLC,False
ithYTkvvcb,Wood-Mueller,False
TYox,Young and Sons,False
xgNCC,Patel Group,False
UKaxyMnTq,Smith and Sons,False
hrj,Gibson-Ayala,True
CQHTfmtis,"Williams, Stone and Williams",False
QoNEJLX,Perkins-Austin,False
ZQ,"Koch, Juarez and Martinez",False
MRdhLn,"Lee, Henderson and Johnston",True
rnfSdAVQE,"Schroeder, Booker and Ellis",False
AyCIqVEm,"Nelson, Foster and Lewis",True
TKHI,"White, Butler and Wilson",False
Ipsdd,"Foster, Wright and Moore",True
WmljSEFvS,Roman LLC,True
bgXlghN,Wilson Inc,True
uKZA,Maldonado LLC,True
wkYnlXCoq,Kirk PLC,False
yYhbhY,Bowen-Sanchez,True
HL,Smith-Bell,False
edGTdCny,Zimmerman Group,False
xcAzLlb,Anderson-Williams,True
oTLyL,Ellis-Freeman,True
lUmVzFDe,Haney LLC,False
FvITVO,"Robinson, Martinez and Aguilar",False
EpHM,Hendrix-Wilson,True
GjW,"Hodges, Harrison and Pierce",False
sbl,Hunt PLC,False
pDyxgZe,Miller-Chambers,False
askcim,Neal-Simpson,False
tiIl,Rios Ltd,False
zSJ,Wolf-Moore,False
yTD,Jones-Hill,True
NAJgwEZL,"Schmidt, Johnson and Figueroa",True
XY,White Inc,False
NqzvJwJCt,Graham Group,True
BlcvrT,"Moran, Harrison and Neal",True
XJoz,Powell-Cook,False
ditj,Gay-Cobb,False
