Id,Name,City,Country
wVJ,Jefffort,South Rachelland,Peru
OvJVCWxu,East Erin,New Kimberlyside,South Africa
SlMhT,Pacefurt,Rachelview,Norway
Nh,North Nicoleshire,New Morgan,Malaysia
KUMR,Willischester,East Kimberly,Rwanda
Se,Kevinbury,Ashleyberg,Papua New Guinea
oF,Lake Andrehaven,New Marcusshire,United States Minor Outlying Islands
gVOahyneRr,Shepherdfurt,Robynville,Andorra
VVag,Randallmouth,East Diane,China
SicfhHdE,Derrickville,East Aliciahaven,Uzbekistan
wkSky,New Kristinfort,Thomasmouth,Niue
urhJOByl,New Deannaberg,Taylorstad,Wallis and Futuna
qo,East Tiffany,Hunterbury,Guyana
Bm,Jonesfurt,Lake Briantown,Sri Lanka
,New Leroyview,Vasquezville,Brazil
Nogvjlu,West Darrell,East Jonathanshire,Turkey
OeQb,Port Lisa,South Michaelview,Luxembourg
JNAOVKDw,South Joseph,Port Jasonton,Grenada
ZEsKdCNy,Kristinbury,Lake Micheleberg,Bouvet Island (Bouvetoya)
gYT,North Olivia,Christopherborough,Montenegro
nCyjQgZg,Hancockville,Lake Sherri,Botswana
OtDaoWN,Matthewshire,Mitchellburgh,South Africa
FLu,Smithstad,North Claytonmouth,Papua New Guinea
mLvNNvqAZv,Susanbury,New Christopher,Switzerland
rcOC,New Deborah,Port Rachel,Guinea
GUXLV,Michaelfurt,Port Sethport,Saint Vincent and the Grenadines
fXuAOZUNPn,Port Joseph,Port Keithland,Namibia
JBkByny,Martinbury,Herrerafort,Turkey
klg,West Sabrina,Deniseview,South Africa
amxWuRc,South Lindachester,East John,Mongolia
c,North Jessicabury,Smithchester,Comoros
N,New Shannon,North Lauren,Lithuania
VQpJZodbRs,Jamesbury,South Robertland,Lithuania
abUjaOmldr,Dunlapport,Johnview,Cameroon
ulsKt,Ramirezberg,South Davidton,Australia
JeOzg,Chambersborough,West Lisamouth,Brunei Darussalam
V,West Juliebury,Larryside,Aruba
YfvfyM,Sextontown,Howellborough,Jamaica
npoaZ,Lake Kristi,Mikefurt,Poland
TaTu,Amyburgh,Port Tracy,Bahamas
ydcC,North Frankville,Vegaborough,Panama
gAIebclEK,Port Sethmouth,Farrellhaven,France
mg,Smithmouth,Rogerhaven,Monaco
tzWogFLGLg,East Kathleen,Richardland,Nigeria
FZRRuy,Adamland,Lake Kennethberg,Ukraine
xg,Cruzburgh,South Michelle,Andorra
REoFKy,Vincentmouth,Cindybury,Cuba
q,Smithside,Hortonborough,Antarctica (the territory South of 60 deg S)
NiEW,Port Karen,North Elizabethmouth,Turks and Caicos Islands
vsncWzHc,East Jennifer,Georgeside,South Africa
rYLtJKTz,South Michaelburgh,Dawnton,Mali
AWvrWIjN,Stantonborough,Coreytown,Italy
PAhjaWl,Matthewstad,Lucashaven,Lao People's Democratic Republic
J,Villanuevatown,South Sara,Western Sahara
mmzdV,West Johnnyland,East Monique,Heard Island and McDonald Islands
BqOhIl,Kennethtown,Kimside,Guatemala
LUZdL,Port Michelle,North Brenda,Montenegro
JGVO,Powellburgh,East Martin,Greece
JoJIlgfvt,West Jonathanview,Millerborough,Montserrat
BDwmRPxrfJ,North Zacharystad,Port Danielshire,Barbados
jpJa,Kirkhaven,Jacobfurt,Niue
weZ,Ginafurt,Katherinefort,Burundi
YYf,Foxport,Adamsfurt,Ukraine
DCnsAhRh,Port Carolynborough,West Dustinshire,Algeria
soMmw,East Natasha,South Philipchester,Micronesia
x,Stephensport,Juliaside,Honduras
uEIlCtaR,West Colleen,Rosarioton,French Southern Territories
yxu,South Danielmouth,Armstrongfort,New Zealand
u,Nathanchester,New Nancy,Georgia
f,East Sophia,South Patriciachester,Liechtenstein
mAjgOlzgS,East Jaredstad,South Patrick,Zimbabwe
NNFAEkX,Lake Matthewbury,Thomasstad,Guam
AdyXJXcuwP,Jamesside,Lake Kayla,Western Sahara
UWA,North Brendanmouth,Rodriguezchester,Cayman Islands
QngJYdzUY,Lake Bryan,Kevinhaven,United Arab Emirates
FcEbwUuYe,East Sharonside,West Jason,Dominican Republic
CRan,Lake Lisaburgh,Lake Jonathan,Jamaica
YXbI,Ibarraborough,Isaacburgh,Maldives
ZYP,Joelshire,Laurafort,Chad
sQtylkvXRj,Christopherborough,Edwardmouth,Netherlands
iEwGSav,West Theresastad,East Jamesland,Guatemala
pgprMQ,Tinaville,Parkerborough,Trinidad and Tobago
H,Woodshaven,Whiteheadfort,Niger
kkfzMR,North Christopher,Robertsport,Western Sahara
DPLqkSRH,North Crystal,Foleyborough,Puerto Rico
RlXficW,East Sherry,East Chelsea,Saint Barthelemy
cT,Allenport,New Loretta,Indonesia
WWRhS,South Taylor,Travishaven,Chad
FwC,Pattersonfort,Smithport,Chile
WIzBbImsbJ,Austinborough,New Walterfurt,Kiribati
smIF,New Carrieville,Stacybury,Cameroon
ROwvaZbaW,Mariaton,Donfurt,Mali
YztN,New Terrancefurt,Cabreratown,Malaysia
jxcl,Riosland,Tonytown,Sudan
mYJQ,Richardfurt,New Amanda,Lebanon
UUsw,Martinstad,New Andrehaven,Lebanon
hNea,Martinezshire,West Jesse,Swaziland
plSAGXzf,East Coreyland,North Jonathan,Palestinian Territory
XRTIPv,Stephenland,West Karen,Cambodia
UKCwu,East Nataliemouth,Wilsonshire,Bosnia and Herzegovina
UsSHrhtZK,South Margaret,West Christopher,Bolivia
neDu,Laurietown,Charlesshire,Albania
Wat,Dominiqueview,West Taylor,British Indian Ocean Territory (Chagos Archipelago)
A,New Ericfort,Lake Daniel,Czech Republic
ek,North Maxwellshire,Irwinside,Iceland
S,Candaceport,Port Andrea,Mayotte
BZJEgyMI,New Drewmouth,Lake Keith,Peru
icLuPaqlx,Leehaven,New Nicholastown,Vanuatu
zrBwz,Lake Austinmouth,Port Bethfurt,Cameroon
a,Mcgrathport,South Amyborough,Bulgaria
AfLyzrOdCq,Lake Joseph,Port Carol,Georgia
yfnjayPgTc,Youngmouth,Cobbfort,Greenland
ODpCcn,West Ericview,New Kathleenhaven,Italy
bfyRA,Grayville,North Jennifermouth,Vanuatu
ktKEJaq,Thomasstad,Rebekahberg,Spain
pqIHm,Kaitlinbury,Port Taramouth,Saint Helena
Q,North Matthew,North Samuelburgh,Botswana
tQ,Mooreberg,Michellehaven,Togo
dSuHCyE,Port Brooketown,South Gary,Holy See (Vatican City State)
Vx,Rodriguezland,Port Ashleemouth,Turks and Caicos Islands
OmLRBxQuJ,Lake Julieview,South Nicoleberg,Croatia
s,South Barbara,Christineville,Kyrgyz Republic
VTReSRLM,Kristyfurt,Padillaberg,United Kingdom
sDEdVukuH,Port Cory,Atkinschester,Tonga
cvfJqNapEX,Port Donaldport,South Vanessa,France
NFtisCNGBe,Port Jesse,Port Nicoletown,Mauritania
hcYjIzxA,Matthewsberg,Susanland,Thailand
cgp,Andersonmouth,Welchland,Reunion
Uc,Ronaldport,New Zacharyside,Bangladesh
skNwdRWVfd,Barreraview,New Sandra,Poland
e,Carlaview,Port Bradleyville,Yemen
rAkI,South George,Hendersonstad,Grenada
RM,Katiebury,Gregoryville,Saint Kitts and Nevis
IqczPjvVQ,North Rachel,North Gailhaven,Bolivia
AkLW,South Wesleychester,Susanport,Gambia
XZkleez,Martinezview,Lake Aaron,Palestinian Territory
tZVNzVPbhf,North Terri,North Stevenhaven,Greece
gwBInf,Woodland,Jeremiahburgh,Nauru
hXt,Sandramouth,South Nicole,Myanmar
KfPKSDJoAr,Port Jacqueline,Josephside,Burundi
Vxs,Randolphport,South Joseph,Cyprus
eLEzCNDPpq,East Samuelland,Lake Laura,Dominican Republic
cjDYVhyn,Lopezfurt,New Cherylfort,India
TUgbq,Chelseamouth,Riveramouth,Christmas Island
NqMiaOC,Carlosfurt,Allisonton,French Guiana
IHh,West Haleyfort,Wilsonborough,Japan
rR,Dunnmouth,Port Donnaton,Greenland
DFJj,Port Jennifershire,Lake Kathrynshire,Monaco
UmdKyglidV,Miguelchester,Leemouth,Thailand
buiIZay,South David,North Ritashire,Kuwait
CHRSNAol,Taylorland,New Blake,Kenya
MPEuiGam,South Carlosport,Christopherland,Angola
lfhsV,Taylorborough,North Mariahaven,Afghanistan
OKWfxLyV,Williamschester,West Dustin,Uruguay
ghwLFfSwb,Myersmouth,Jeffreyfurt,Cook Islands
lzHXGyQYd,New Kathleen,Lake Toniville,Tajikistan
qSuthNVStY,Kennethport,Lake Alexandraville,Central African Republic
gDpJSTk,Aaronberg,North Andrewville,Malawi
Hpnh,Port Rebecca,Richardsonburgh,Switzerland
TarZT,Erinport,Virginiaberg,Maldives
QPlRZfjyT,New Joanshire,South Crystalview,Armenia
wUqp,Colemanview,Port Tony,Egypt
r,Craigberg,Richardsonfort,Chad
U,South Fernandoberg,North Jenniferstad,Sweden
xPoHQ,North Michaelborough,Lake Bradleymouth,Moldova
GwXubQY,South Travis,North Christinamouth,Israel
cM,Port Michelleshire,West Alex,Uzbekistan
M,North Annaville,Jessicabury,Vietnam
Obpzwfph,Stephensport,Austinchester,Brazil
dACjI,Port Stephanieshire,Port Christinefort,Ethiopia
klU,Westberg,East Megantown,Zimbabwe
ubVFlwl,New Dustinmouth,East Vanessa,Swaziland
PhE,East Andrew,Staciefort,Philippines
bBC,Lake Joelhaven,Michaelside,Cote d'Ivoire
tueBfRGHo,South Davidview,New Jenniferberg,Macao
jNy,Pedroside,Garciaview,British Indian Ocean Territory (Chagos Archipelago)
ol,Lake Mirandatown,East Wayne,Cocos (Keeling) Islands
SVFNJUjXo,South Kristenstad,South Deannamouth,Cape Verde
RdBXxj,West Nicole,Murphyfort,Saudi Arabia
Dhx,Dianeberg,Mcbridebury,Haiti
lnQqkB,Cassandrahaven,Lake Elizabeth,Lithuania
QSxqILWYBy,East Jasonhaven,Port Paulfort,Panama
WOIjA,Diazshire,West Nicolestad,Finland
MpcXBmYss,Kimberlyfurt,Port Carolfurt,Tunisia
DpIlXn,Carrollview,East Brianville,Hong Kong
TUJHMAK,North David,Berryborough,Libyan Arab Jamahiriya
ypXauKJ,Garciaborough,Harrismouth,Chad
AZ,Deantown,Port Scott,Turkey
cxlMASeDII,East Alexisside,Bruceview,Belgium
lqZl,West Robert,Erictown,British Indian Ocean Territory (Chagos Archipelago)
xrJavo,Diazshire,Hannahview,Jordan
txPClCNaQ,Lake Denise,New Kimberlyview,Sweden
WyASy,Lake Shannon,Carolineside,Bolivia
v,Owensmouth,New Zachary,Cook Islands
TNy,Powerschester,South Alicia,Israel
ZYaBsdUi,North Kyletown,Stevenchester,Taiwan
UyVY,East Stephanieside,Lake Shannonstad,Gibraltar
nUaOmzzYEI,Barbaraville,Louisview,Saint Pierre and Miquelon
aBTAZuQJW,Kevinfort,Monicaborough,Liberia
JoPoASwYzS,Sanchezville,West Deanna,Serbia
ZnUseBp,Patriciamouth,Bradleyland,Bhutan
XenXwIKRDH,New Jacobberg,Erinland,Georgia
zUhldDrhfN,West Michael,Garyfurt,Pitcairn Islands
Ov,Russellside,Josephport,China
qWK,Phyllismouth,West Hannahfurt,Guinea
wJM,East Kenneth,West Christopherborough,Congo
ay,Brandonmouth,South Justinfurt,Vietnam
TabIMzglby,Port Stephen,Lake Stephanie,Chad
BrcdbIvFh,Port Brandon,Oconnellbury,Guatemala
aeoCXx,Brendamouth,North Robertburgh,United States Minor Outlying Islands
fFMhtxjr,Pricechester,North Christinachester,Mayotte
SBvc,Graveschester,New Eric,Saudi Arabia
WMS,West Michael,Markston,Germany
eElHi,New Jordan,Michaelhaven,Senegal
nV,Michaelland,East Joshuahaven,India
