UserTag,ChatId,Since,IsAdmin,MutedMentions
ngarcia,GZkWJa,2024-02-20T18:47:48,False,False
srichard,ylK,2020-03-13T04:30:10,True,False
sandra19,KFxd,2022-04-09T03:55:19,True,False
katiethornton,QZfWZxo,2022-01-23T19:43:31,True,False
cheryl42,WvwI,2020-07-18T11:40:36,False,False
samanthamorris,LDuVHp,2020-10-09T01:45:35,True,False
patrickdixon,JnvPdSGmZ,2022-02-23T23:16:40,False,False
reedlisa,bdNiak,2023-09-16T09:38:31,True,False
danielrichards,puRKvyPcL,2021-06-03T23:20:20,False,True
david47,nrKGkf,2023-01-19T10:49:09,False,False
david96,MVPFe,2020-05-16T07:36:19,True,False
bgreer,eFcwkE,2021-02-04T10:40:03,False,True
loweryrichard,zmc,2020-03-14T22:24:06,False,False
kmorton,QfRt,2020-06-28T10:38:42,True,False
ymoyer,AygFmPvXTN,2022-11-23T20:50:00,False,False
sanderstimothy,KyhWaJTB,2023-02-03T21:58:28,True,False
changlindsey,ittKo,2022-08-22T20:49:46,True,False
kayla19,hnBdcH,2021-08-19T02:47:42,False,False
belinda21,RByB,2022-06-17T19:40:11,False,True
wigginsjames,OxgzwXTho,2021-11-14T05:27:36,False,True
kylietownsend,iYzyuzrsND,2022-10-20T20:34:54,True,True
jmoore,XESI,2023-12-24T11:24:34,True,False
rhondaodom,zYaMKBYlGn,2023-08-24T07:26:41,True,True
baileymatthew,JkVx,2022-03-17T12:54:56,True,False
delacruzsusan,NFP,2021-12-23T06:01:22,False,False
bnelson,ALWthdrg,2022-01-05T13:29:52,True,True
santoscrystal,QxU,2021-01-04T22:56:21,True,False
ecampbell,IuvSWsX,2021-01-24T16:16:11,False,True
mcintyrekathryn,jRCCJbZ,2020-01-26T09:15:52,False,True
thomasgutierrez,aIualjJyGP,2020-07-11T23:36:15,False,False
qhanson,rsLVXMt,2023-02-28T12:06:30,True,True
walter78,AzFLU,2020-11-19T20:04:52,True,False
wmills,AIUaB,2020-12-02T16:15:19,True,False
brandonblanchard,vo,2022-06-05T11:49:05,False,True
gilbertkyle,OzcRbbsb,2020-12-18T18:27:30,False,True
millertheresa,jhy,2020-12-02T22:44:36,False,False
sarah00,NzgRpKDhi,2023-02-23T03:05:30,False,False
egibson,ngrysPrGrC,2021-12-23T03:56:10,True,False
alexanderdaniel,gRBBx,2020-10-02T04:49:13,True,True
sharon80,FjrPEnL,2022-12-28T15:59:37,True,False
lisamadden,HLvypsk,2023-09-20T07:21:13,False,True
janehoward,OEDTDYTGe,2021-07-04T04:30:47,True,False
janice85,bhGVPe,2020-06-13T18:16:24,False,False
xlynch,PwKiPPZUry,2023-11-19T08:01:17,True,False
sconley,aGbZnTrk,2022-02-28T06:47:49,True,True
charles25,inwQB,2021-07-24T17:56:51,True,True
hoffmanjerry,nacuJY,2021-07-13T01:36:01,False,False
ldominguez,qz,2023-01-05T00:50:32,True,True
fgarcia,snICS,2022-03-16T00:32:52,True,True
shannonedwards,ORxNMiYcvL,2021-04-12T20:40:54,True,True
davisjulia,ndxEHxNC,2022-07-03T04:11:35,False,True
melissa32,TktBSuCx,2020-08-18T09:07:29,False,False
rhonda07,IIAE,2023-11-09T14:49:52,False,True
qrichards,kTIqtbK,2020-10-26T18:38:21,False,False
michael05,wSkfXMdgs,2020-07-14T21:17:17,True,True
robertstewart,NxSrcMJw,2022-08-20T04:46:57,False,False
nelsonjames,nXFtyDhyuU,2021-10-14T16:14:41,False,False
vshaffer,UbQ,2023-08-29T10:01:49,True,False
oneillveronica,wUCmLLLcuB,2023-02-22T04:30:43,False,True
juliehenson,DsiW,2020-02-25T06:31:29,True,False
julie21,iK,2020-08-09T09:30:42,True,False
btorres,GjWBIj,2023-06-17T09:42:34,False,True
