FollowerTag,FollowedTag,Date,Hour,IsMuted,NotificationsActive
gabrieladams,lisabaker,2022-06-21,07:10,False,True
xsoto,across,2022-08-21,01:53,False,True
daniellemay,samuel09,2024-01-29,05:52,True,False
wwoods,allisonmoore,2021-10-25,06:35,True,False
barronpamela,owheeler,2020-04-28,18:21,False,True
dylanscott,kjohnson,2023-02-14,16:50,False,True
william79,millerryan,2022-12-30,01:38,False,True
rachel76,loretta26,2022-05-09,21:22,False,True
thomas98,sophiahill,2021-07-01,18:15,True,False
uburns,maria22,2021-05-04,02:31,False,True
thompsonjennifer,flee,2021-05-10,00:30,True,False
qmoss,katelyn15,2022-01-06,17:41,False,True
kimberlyhart,cynthia50,2022-08-19,04:17,True,False
kyle67,lindahunter,2021-03-31,05:09,False,True
denise67,aliciaalexander,2023-06-08,00:00,False,True
sanchezmarcus,beckrussell,2023-10-21,10:34,False,True
debrabrewer,sarah87,2023-07-30,16:53,False,True
harveymichele,loretta26,2024-04-12,19:52,False,True
cohencarla,amy63,2022-04-13,13:06,False,True
parker36,beverlyprince,2023-12-15,19:38,True,False
jasmine63,jsantos,2022-04-20,19:55,True,False
haleymatthews,fnoble,2021-10-22,05:07,False,True
dennis13,robertpowell,2021-06-18,08:01,False,True
hkrueger,gregory00,2020-03-02,00:04,False,True
johnstone,vreynolds,2021-06-03,07:55,True,False
karen68,allen68,2021-10-03,11:09,False,True
bullockdouglas,wileymichelle,2021-02-20,00:54,True,False
smaldonado,cmills,2023-05-23,12:10,True,False
christopher09,jennifer64,2023-08-29,07:17,True,False
wsullivan,rita92,2022-06-14,08:04,False,True
millerelizabeth,reynoldsscott,2022-06-15,18:36,True,False
michele69,rodonnell,2024-04-02,10:12,True,False
adamsjeffery,anne03,2020-02-09,11:13,True,False
nunezlynn,rebecca45,2022-08-08,03:39,True,False
bryan55,jennifer19,2022-05-08,17:54,True,False
martinjacqueline,richardrodriguez,2023-06-27,00:22,False,True
michael91,roberttaylor,2021-06-12,13:12,True,False
roberto24,patrick84,2020-07-17,16:46,True,False
raymond60,stephenrodriguez,2021-04-05,10:44,True,False
sarahshields,michael31,2024-03-10,11:39,True,False
anthony04,kevin93,2023-03-07,11:39,True,False
maria60,wendyjohnson,2024-01-14,14:35,True,False
stewarteric,matthewanderson,2020-08-31,23:55,False,True
cmendoza,staylor,2022-04-21,08:58,True,False
ronald95,megan86,2021-10-07,14:31,True,False
christophersmith,ecampbell,2020-12-31,05:25,False,True
hbrennan,emack,2023-01-13,02:32,False,True
joelfreeman,johnrusso,2020-01-03,12:43,True,False
danielstewart,gail37,2020-03-16,09:48,False,True
daleshields,jacksontiffany,2021-03-09,17:38,False,True
pflores,hwashington,2021-06-15,07:35,False,True
ricardo05,robinsonandrea,2020-03-08,21:23,True,False
rstone,jerrybarnes,2023-08-12,06:03,True,False
edwardsrichard,reneecuevas,2021-06-09,13:35,True,False
flarson,marcus26,2023-03-15,14:00,False,True
jasmine54,andrewbarrett,2022-01-04,20:36,True,False
jacksonedward,johnhowell,2020-11-05,14:21,True,False
vking,rbrown,2023-10-01,11:05,True,False
drichardson,tapiataylor,2020-05-27,14:42,True,False
reynoldsrichard,jordanbradley,2021-05-26,18:58,True,False
eponce,tammy60,2020-04-23,10:31,True,False
atkinsmelissa,bakercarly,2021-07-01,21:50,True,False
michaelwheeler,charles64,2024-01-03,04:31,True,False
cory79,michaelstewart,2022-10-02,03:22,True,False
wliu,rebecca02,2021-07-10,06:15,True,False
wisesusan,michael49,2021-09-07,03:43,True,False
graceaguirre,gbarnes,2024-01-09,18:05,True,False
ronald95,amandayoder,2021-01-05,23:39,False,True
katherine30,danaterrell,2024-01-28,17:50,False,True
cooperjoshua,xlopez,2020-07-24,13:32,False,True
coltonconway,johnsonjacob,2022-02-12,15:55,False,True
jeannethompson,shawseth,2022-11-22,02:16,False,True
daltonvirginia,annecollins,2022-09-20,06:56,False,True
suttonjessica,kylebrooks,2021-12-18,10:45,False,True
norrisjennifer,collinsamanda,2020-02-12,12:44,True,False
zpope,halebrian,2023-02-03,04:16,True,False
coreychambers,llloyd,2022-03-15,19:12,True,False
kyle00,cbrown,2021-07-13,18:50,True,False
williamsandrew,timothysmith,2023-11-03,18:12,False,True
xmata,cgordon,2020-04-12,08:08,True,False
cynthia50,chapmanscott,2023-10-23,21:16,True,False
perezlisa,andrew83,2020-11-27,09:25,True,False
nicole26,ilittle,2020-09-07,03:42,False,True
jamiecastaneda,natasha06,2023-09-08,12:51,True,False
hernandezmark,qwilliams,2021-12-10,23:36,False,True
albertmckenzie,amy07,2023-03-04,03:30,False,True
bensonjason,frymichael,2022-09-11,00:32,False,True
alejandro85,stephendiaz,2021-08-12,07:25,False,True
morganwhite,robert34,2021-06-07,06:24,True,False
rstone,matthewssteven,2023-02-04,05:59,True,False
bryan61,brownkaren,2022-12-17,23:36,False,True
bauerjennifer,marieblack,2023-12-22,00:59,False,True
michael37,jenniferwebb,2020-04-18,05:56,True,False
diane25,owilliams,2023-06-11,21:29,False,True
brettmurphy,jason97,2020-03-30,10:27,True,False
browndenise,zcook,2022-06-21,11:28,False,True
dannymiller,justin10,2020-03-07,04:27,False,True
yhernandez,jacksontiffany,2020-04-17,13:10,False,True
veronica93,jesse17,2022-10-06,16:00,False,True
snowsuzanne,hrodriguez,2023-12-16,16:23,False,True
fwilson,jtrevino,2022-04-02,15:35,False,True
campbellamber,zreeves,2024-04-01,13:28,False,True
elizabeth77,conniecollier,2020-01-20,21:09,False,True
julie86,timothy39,2021-09-19,12:29,False,True
jacquelinekeller,carramber,2023-09-12,17:23,True,False
stevenjenkins,jamesanthony,2020-02-01,17:54,False,True
ujones,daniel56,2022-10-20,20:20,True,False
oprice,russellsamuel,2022-06-30,22:15,True,False
zbailey,snyderlaurie,2022-08-09,00:52,True,False
stephen23,clarkandrea,2020-06-06,15:51,False,True
porterjason,gutierrezbreanna,2020-07-31,03:50,True,False
stewartrebecca,shelley14,2022-07-13,17:06,False,True
jeffrey32,sandra64,2022-02-23,05:41,True,False
tammypreston,ashleyross,2023-10-23,10:25,True,False
