MessageId,ChatId,Order,Read,Edited
bsDvv,nDzhETUXTC,75,True,False
JusKjnI,lnfDiwRu,94,False,False
yFTO,wMhEyEib,12,False,True
sKHsVZSCcJ,KY,23,True,False
DySRZ,fHHGDL,63,False,True
ioNDGoL,qtJ,19,False,False
wEZ,bCrJMp,56,True,False
JsZYQCu,RVdTHQE,69,True,False
WZED,oplLj,79,True,False
AazVp,EowUtfM,90,True,True
rCqGvK,PaM,66,False,True
CeqzuV,hJeWns,41,False,True
pJNA,VKnBQXG,6,False,False
zSC,DR,75,True,True
AIzX,exlriTV,100,False,True
xuctHII,TLqJ,1,True,True
bBkgwRkDp,nJyLprloWv,50,False,True
UXpBDZzqX,lCzC,83,False,False
baLFRxcyj,zWDiQL,66,False,True
aEp,lsn,81,False,True
XRwnFp,oypVXrjlI,15,True,False
RZhaCgFvc,FInsJ,75,False,False
tldtpn,rt,29,True,False
iGy,DHaPQl,49,True,True
ycqoneuQ,ccTRIytat,78,False,True
ywoUwmUWv,ZTIg,4,True,False
VnXSgGG,iJJIGIuN,19,True,True
AjvAURuSFx,ssjh,63,False,False
FrJSv,HRzKCwJJjZ,25,False,False
zSIu,MdYbkQk,61,True,True
DXC,lvqHSSdneH,3,False,False
PTzAGXYf,FJJMxCzJf,85,False,True
taDZjcsaKT,CJxtfX,52,True,False
OoTkglQrZW,HHZ,57,True,False
bdrLKBb,rfIOAoyUaD,63,True,False
VzTVXskiW,pthnYIQAiT,23,True,True
umscM,oBWv,93,True,False
qpFehwEC,EhcxERjzFJ,55,False,False
nAAyAQ,TAfTxjeyZc,10,True,True
vNfxpBKs,pQ,54,True,True
gVAiXwyR,dXnVgkx,13,True,True
VpR,aW,19,False,True
ecmaxWl,stLlJIP,92,False,False
AEsUxBR,nFWFO,69,False,True
SSfUBdTs,CXBOE,92,True,False
myDjFmCM,KSuz,86,False,False
RRqzS,cHEmMArWQP,11,True,True
Cw,mQGT,27,False,False
KgIZtiwy,anHvPpJy,83,False,True
qDhuwz,IeaKNzDa,20,False,True
gwIAZvrpDH,fnWOzW,10,True,False
emTKiVI,MT,39,False,False
fHdMLF,QaWalvFB,57,True,True
LGUvT,falNe,92,False,True
fWqq,CuTau,33,False,True
uFDwbDno,mLDbj,90,True,False
wcJnpiT,TBV,75,True,False
YwoN,ra,5,True,False
lMXfjqx,JVFnzpe,58,True,False
gmk,ppLiRdRfV,20,True,False
QUjQHgBDsk,CTlB,86,False,False
HQa,lgfNhrv,13,False,False
MYrxPgasrH,dXnwscRMa,35,False,False
dLoFLr,ig,22,False,False
LvegRTzjza,FCkJaPCktz,1,True,False
RsJ,WqjQIJwYiJ,22,False,True
aoGdnFxfN,scfNNjH,33,False,True
Uxw,dy,62,True,False
oBSYU,rpGziwPbpX,24,True,False
RlPqXCQAPj,tzyga,25,True,False
IuGX,bXnQaoV,52,True,True
KDVTc,BlxMWbTmx,95,True,True
CQPHh,bwBzNQOaG,21,True,False
FJJv,FwMQKPo,2,False,False
HXPdXFHiXU,rCRTwNul,39,False,False
dOdjubObZn,OLtPiT,98,False,False
Fdd,NlFnXfMMDo,52,False,False
DFovfLl,pEOKFF,25,False,False
lAfxBH,UppUVUyBoa,34,False,False
vJ,piZKRjP,98,False,True
wzBMXg,FNGsmBwj,72,True,True
MQa,SnUOvLRd,67,True,True
MTrXkMqqJ,xfMj,73,True,True
RcT,xquK,46,False,True
kLIa,GRPqVKB,100,False,True
WJFfieBxh,ltNLR,72,True,True
buMh,JgEaRjipQ,78,False,True
dCW,LvuyRP,21,False,True
efxBZ,GXFh,23,True,False
UlozV,dPLRLHUpu,51,True,False
cp,swAKODS,18,False,True
goDhuAdWD,PYuPqyoU,98,True,False
PPsXzO,wGauh,61,True,True
cXxGj,mCNMH,89,True,False
lIH,JhHzvyAa,83,False,True
LlvykJEgqQ,UUufTHvO,82,True,False
TvfKkRQN,MsRXyCY,63,True,False
HsdROa,JBdJ,64,True,True
dxjmfBhf,NNJo,73,False,False
DXdHsuy,WQn,19,False,True
PdMBfFFy,MuuSnX,64,True,True
TvHFceYFIk,GXFh,56,False,True
AXMtuCaz,tTxzBG,83,False,False
BSaYJDa,DjLUZnn,12,True,False
jkjJ,BMNjD,5,False,False
CYLLo,Bcda,100,False,False
MFr,cRyjkPl,87,True,False
SA,sl,37,True,True
QkvDUEde,SsJvbmznUb,61,False,True
MXqu,SCc,7,False,False
ZOdbh,rjcjbOxM,38,False,False
QSGy,ffcR,19,True,False
VOIRs,oldUwAg,43,True,False
GMmw,FpKc,41,True,True
gTPxtgF,aLqHAWzmK,72,False,True
DrpdtwKx,SZXT,56,False,False
xfpaSW,kPvQY,69,False,False
lSIwhVhPR,XrfQHlKYV,25,True,False
JsZYQCu,XsxNQZSlB,62,False,True
hVUQVshA,VRTxTgnFW,58,False,False
dCtJBK,wewKPs,92,False,True
AaKzcJ,VeaD,3,True,False
wT,EiecMtrRFW,52,False,True
QAmBP,pMN,59,False,False
uzkBPIY,RfpQmQX,30,False,True
oxRb,HtfzG,88,True,True
slipzA,OTPUnQoJVG,74,True,True
tOsOFfWKF,OhMZSm,58,False,False
YEPgqltaKy,MNyNNp,20,False,True
Otlp,PQesgQeMyk,46,True,False
fvqXUXsFC,apueRtiEkI,70,True,False
XWdkUwZ,PEcHYDy,33,False,True
OoOgTBp,OLOKfCr,45,True,True
aaYDDUJt,yJywor,29,False,False
CzVze,NS,89,True,True
ISzAKeqSC,Cdpw,35,True,True
JbLkhVi,hEgdAqAZ,1,True,False
wW,ZezjGo,49,True,False
jlfgLuHlf,VoPyV,37,True,False
JcALYOlcj,sbbrM,62,True,False
CSx,EV,95,True,False
sjmlQsKN,sRMCXvDiR,63,False,False
ZrSvghv,vZoV,60,True,True
vEVop,QwXV,41,True,True
lJ,gicycg,44,False,False
Gzwob,xMOciOLf,82,False,True
HqxkOxGuh,cAaXyicrPa,49,True,True
PnmlgpW,VoPyV,57,True,False
euiQJiC,tslxnPi,41,False,True
QESNYHeq,VZUyZxmuqE,96,False,True
kKJmenisIE,unWAhxpmdz,96,False,False
iMVaSh,JzB,92,True,False
