UserTag,TweetId,TimeStamp,Device,OS
patriciagarcia,LzjVw,2022-01-17,iPhone,iOS
carrie52,KiLduI,2022-07-02,Web,macOS
sherry73,nozO,2020-05-28,Web,Linux
lorettajohns,sagFBbaPfG,2020-12-10,iPad,iOS
zcruz,YSpLruKLhh,2022-12-03,Desktop,Linux
grantrobert,DuXana,2023-08-16,Web,Android
watsoncaleb,aCmy,2024-04-16,Desktop,iOS
alexander94,QVpMnoVOX,2023-05-20,Desktop,Windows
frederickhansen,ug,2024-02-06,Android,Windows
eric22,EnMXIvcUx,2020-03-13,Desktop,iOS
sabrina89,vFYXN,2023-11-08,Web,Linux
levans,DSFCbmFs,2021-08-20,Android,Android
lydiaperez,yU,2023-10-02,iPhone,Linux
shirley96,QMJ,2021-06-08,iPad,macOS
jessicawashington,jOn,2020-08-12,Web,Windows
barbarawilliams,QYxHSgdYjs,2020-10-04,Desktop,iOS
perezelizabeth,eUTWBTS,2021-01-14,Web,macOS
plong,AkANBsx,2023-07-17,Android,Windows
michelle34,ZeBbWHp,2024-03-22,iPad,macOS
coffeyrebecca,mNqUoH,2020-11-01,Web,Windows
ngonzalez,Wofcj,2022-11-29,Android,iOS
matthewsanne,PHtRowB,2023-04-30,Android,iOS
bradleyowens,VYlZh,2022-10-13,Web,iOS
nromero,nHeh,2021-04-17,iPad,macOS
hhouse,tDT,2022-11-10,iPad,Android
zcastro,ztQKIIgMu,2021-09-24,iPad,Android
tracimoore,zfRhs,2021-10-08,iPhone,iOS
mmorris,yE,2020-06-21,Web,Windows
thompsonjames,fcfH,2024-01-09,Android,Windows
teresaodonnell,QPnkUOHpX,2022-12-22,Web,iOS
ashleysanchez,wcERT,2020-03-07,iPhone,Linux
dfox,NIUtTvuzmP,2021-01-20,Desktop,Windows
svincent,EWRBHvgix,2023-06-11,iPhone,iOS
kathryn59,rdHq,2022-10-10,Android,Android
eric78,WZ,2024-03-03,Desktop,macOS
melissaperkins,QXh,2024-02-13,Android,Linux
hernandeznicholas,Zlrx,2022-02-06,Desktop,Windows
ochoajustin,OdHse,2021-08-23,iPad,Android
leonlauren,hbQEWuQ,2024-01-27,Web,iOS
patricia31,eJwTeBdqo,2020-08-26,Web,Windows
karenjones,UoCdH,2023-06-24,Android,Windows
middletonmichelle,Hjw,2021-06-09,iPhone,Android
christina33,vwQVc,2023-09-13,Web,macOS
brittneyberger,UfDHTh,2021-04-19,iPad,Android
keithnicole,cM,2022-12-25,Desktop,Linux
fullerjennifer,oKJthaJFxN,2022-09-20,Web,Android
cochrankaren,xgpvnuaj,2022-08-20,Desktop,iOS
garycaldwell,UoomW,2023-11-13,Android,Linux
floresariel,YXXfmB,2020-08-16,Web,iOS
jacoblopez,gTtABDvYU,2022-10-06,Web,Android
thomasjanet,RfCHFoJX,2021-12-31,Android,Android
pgreen,hYYCjWM,2023-03-08,Android,Windows
karenjones,esR,2020-09-16,iPhone,macOS
smithrussell,cUXhhSX,2023-08-14,iPad,Android
jonesalexander,uFFwKB,2020-11-20,Android,macOS
quinnjames,DdRLuPmSJX,2023-07-07,Desktop,Android
brian43,NVBYgw,2021-09-06,Android,iOS
sandra28,zlYfVSlhRX,2023-03-06,iPad,Windows
joshuawerner,xPH,2023-07-24,Desktop,Android
dwilliams,idQeLSrWVI,2020-03-30,Android,Windows
hickmanandre,unVsxp,2023-06-18,iPhone,Linux
tayloravery,OtRJEiZrh,2020-08-31,Web,Android
martinezrobert,XyUwnM,2024-02-01,Android,Android
meyererica,YdVuuA,2022-10-29,Desktop,macOS
robertmartinez,FgLpwMVw,2020-09-22,iPad,Android
kyle04,QETbcVHDX,2020-12-13,Android,macOS
matthewgomez,SsCPdUAVt,2022-03-17,iPad,iOS
dunnmarco,yLsrIg,2022-08-26,Desktop,macOS
christine56,qMO,2024-01-24,iPhone,macOS
isosa,bbq,2021-08-22,iPad,Android
aaron96,nOclUf,2023-10-01,iPad,Windows
brucejeffrey,VrMqd,2024-03-17,Desktop,iOS
keithhampton,AsVNKrl,2022-08-24,iPhone,macOS
deborahholmes,UczwRQXwg,2022-12-18,Web,Linux
andrewpeters,JubHWtAAED,2021-03-21,Android,iOS
thompsonapril,BXDmVg,2020-05-21,Web,macOS
sally87,NyvXisKuTy,2022-09-25,Web,Android
ramirezerika,qZgzdz,2020-10-01,Desktop,Android
michelle30,EnwjlGE,2021-05-31,iPad,Linux
millerlouis,NFYT,2023-12-31,iPad,iOS
russelllee,mDhagXVbNY,2022-09-21,Desktop,iOS
mpadilla,LOvXN,2023-04-11,Android,iOS
kenneth39,cjd,2024-04-05,iPad,Linux
lori49,IyulYxSw,2021-03-18,iPad,Linux
josephaguilar,KdjNPGXMJa,2020-04-16,Android,iOS
michelle91,GxOMagnOd,2021-01-19,Desktop,macOS
marybryant,yMPGUxk,2023-10-22,Web,Windows
sellerswesley,rtY,2024-03-08,iPad,Android
kendrahuff,DOpN,2023-09-23,Android,Windows
kathrynschmitt,PrI,2023-06-06,iPad,Windows
fwilliams,wXVdEo,2021-05-07,Android,Windows
cwhite,lIyM,2021-07-06,iPhone,Windows
richardspencer,DgqOu,2022-01-26,Web,macOS
daviddiaz,WaEfKYzj,2021-12-27,Android,Windows
brianwatson,csufwS,2020-12-20,Android,Linux
zstevens,YyO,2022-03-26,Android,iOS
mark01,JLCYNZ,2020-08-30,Web,iOS
kylemurillo,rd,2022-07-14,Android,iOS
michellemorgan,nMdbLLB,2020-05-01,Desktop,Windows
markgaines,JQg,2022-06-23,iPad,macOS
jbrown,akmMSQ,2022-11-04,iPad,iOS
wendybaker,SQvW,2020-03-09,iPad,Windows
davidgonzalez,wXRmYRliNk,2023-09-11,Desktop,iOS
michellemays,JfEYyYjIx,2020-02-11,iPhone,macOS
stephaniehoward,KuzURWMQB,2020-04-28,Android,iOS
joshuajones,elGRj,2023-03-02,Web,iOS
davidlin,Opdb,2023-12-17,iPhone,Linux
tammy67,XtwVZyiTt,2023-01-27,Web,Linux
joneselizabeth,IKY,2021-05-06,iPhone,macOS
shelby29,qimwYcSIBq,2021-04-02,Web,Windows
ruben57,gUKpnPpGMJ,2023-04-08,iPad,Windows
hubbardmatthew,mptLa,2022-03-07,Web,iOS
scotthannah,SBPnAT,2022-03-08,Web,macOS
gina98,UHIB,2024-03-04,iPhone,Windows
rwagner,Mvr,2023-09-23,iPhone,macOS
lcannon,rbJMKMmnn,2024-04-16,iPhone,iOS
meyererica,uTX,2020-12-30,Android,macOS
ewhitaker,jiLI,2022-09-21,Android,iOS
amorgan,yrcG,2022-10-02,iPad,Linux
umueller,UFBcg,2021-07-19,iPad,macOS
brownjuan,Ury,2023-09-18,Android,iOS
byrdrose,NoThInD,2021-09-05,iPad,Windows
reedmary,XyntH,2021-02-09,Android,iOS
nromero,UvR,2021-10-07,iPad,macOS
eric01,bxq,2020-04-29,iPhone,Windows
brenda31,GKBZcBJ,2022-02-13,iPhone,iOS
james23,reSva,2020-11-16,Desktop,Windows
randallmorales,MEl,2022-11-23,Android,Linux
christopher59,oAGkfgXD,2023-08-12,Android,iOS
deanna52,cTlRVVO,2023-10-22,Desktop,Android
cheryl46,oCPX,2022-03-20,iPhone,Linux
jwright,RaBunDyAR,2020-04-19,Web,Linux
lmcclure,FBoW,2023-09-28,iPhone,iOS
rebekahzimmerman,OYvdxpH,2020-09-20,iPhone,iOS
mballard,LgjYkxnRv,2020-03-22,Web,iOS
charles46,uBNPww,2021-11-27,iPad,iOS
williamsjames,icJmCacG,2022-12-22,iPhone,Android
matthewwolf,anUSvg,2022-09-23,Android,macOS
lauren12,vngm,2023-08-21,iPad,Windows
amandagreen,BbhoPIAhce,2023-07-19,iPad,iOS
michaelrivera,kW,2020-10-16,Web,Android
shawntorres,gITu,2023-05-31,iPhone,Linux
padillamichael,ecjKg,2020-07-16,iPad,Linux
angela30,fcRTg,2020-06-08,Web,Android
stevensonautumn,ywFPNOnGAE,2023-11-04,Android,Windows
villarrealbrenda,SYDOWJG,2024-03-22,iPad,macOS
uwashington,ibOEkcs,2023-09-13,Desktop,iOS
gomezbarbara,yAIV,2022-02-09,Desktop,Linux
carlalewis,TOlUOeJ,2021-06-18,Android,Windows
petersentina,aHmfSkEfsy,2021-05-03,iPhone,iOS
christopher26,rnMSNhwSas,2020-01-24,Desktop,Android
murraykenneth,hoI,2024-02-14,Android,macOS
susan11,IVLp,2020-03-17,Web,Android
jenniferhart,ZIdl,2022-03-03,Desktop,Windows
ezavala,nqhweJ,2021-06-14,iPhone,Linux
emily13,AnP,2021-03-27,Desktop,Windows
brianna84,JmrK,2020-01-27,iPad,macOS
tayloravery,JijREZPu,2023-08-30,Web,Linux
christina99,iPaF,2023-07-11,iPhone,iOS
makaylaayers,iTgaN,2023-11-24,Android,iOS
robinsonpreston,BBODhky,2021-04-26,Web,Linux
barbara57,luBsJNC,2021-11-28,Desktop,macOS
ryan45,zcfCiXb,2021-04-22,Web,iOS
davidramirez,Pc,2024-02-08,iPhone,Linux
jenniferscott,ooidhHaQ,2023-10-14,iPad,Android
juliebrown,zgmzBUzag,2021-07-06,Android,Windows
donald95,KxMJR,2022-06-26,iPhone,Android
kyle04,kyd,2024-03-04,iPhone,Linux
cclark,WUJVo,2020-02-06,Desktop,Windows
kimberly56,hB,2022-10-25,iPhone,iOS
corey05,FUuMXz,2020-08-11,Android,Android
