UserTag,LocationId,TimeStamp,CurrentlyIn,LivesThere
byrdrose,WXqMnl,2022-01-16T16:53:32,True,True
amy01,jAo,2022-09-01T07:51:05,True,False
williamnichols,zllKM,2024-04-01T12:22:26,True,True
irodriguez,oCUG,2023-02-08T07:59:40,True,False
ruben57,iQwALeTdS,2023-11-20T00:13:39,False,True
blankenshipmichelle,pfDJPb,2024-03-28T08:06:40,False,True
williammontgomery,ppNb,2023-10-09T04:26:50,True,False
lisa04,EMDuAxb,2020-11-19T04:09:31,False,True
millerpamela,MwirpcX,2021-05-17T09:45:42,False,True
rvargas,WgVVrrKu,2023-07-22T06:47:16,True,True
johnsonandre,rvhpqgr,2023-08-26T23:10:41,False,True
derekgonzalez,ATovchGn,2023-06-18T04:32:07,True,False
kelli95,NzNEH,2023-02-02T16:55:29,True,True
ashleysanchez,vugzMuz,2021-05-16T03:06:49,False,True
vazquezaustin,HLu,2021-08-14T07:27:44,False,True
jeffrey93,UJ,2024-01-12T08:27:51,False,True
rosenicholas,ZP,2022-12-29T12:36:10,True,True
ricardonunez,XzfITc,2023-07-19T12:14:31,False,True
charlespaula,hukq,2023-11-09T02:13:08,True,True
smithlisa,jbA,2021-03-19T15:49:48,False,True
sandra10,fJyrMNyIoV,2023-11-14T18:02:00,False,True
jason78,gortepWnW,2021-12-01T02:32:43,True,False
udavis,ZgGtXaRw,2020-11-01T14:08:19,False,True
jayperez,ZHMDuuuMRW,2023-08-05T06:32:19,False,True
perezjason,JC,2023-04-13T17:25:27,False,True
jsummers,AlWpZvbwVb,2023-09-22T02:06:43,False,True
zoconnor,yZqdK,2022-02-02T15:23:13,True,False
karen37,XdoTuT,2022-01-31T05:29:48,True,True
rachel97,NDCwdUotdI,2022-06-27T06:34:41,True,False
martindanielle,VI,2023-08-26T13:37:17,True,True
jeffrey83,ucySRSMAnQ,2022-06-07T01:56:41,False,True
jeffrey46,jF,2023-06-30T23:22:03,True,True
charles90,qdZTJPN,2022-05-24T00:31:56,False,True
hollyweaver,tMBXliSOKa,2022-05-17T02:12:08,False,True
noahgarcia,CovC,2022-11-19T12:58:48,False,True
amorgan,DhumasGEUP,2022-07-09T02:26:27,True,True
michellenguyen,GiZAznmRf,2020-03-13T19:41:33,True,False
amandarichardson,yk,2021-06-09T19:54:24,True,True
tyler58,YpEycqbjQl,2022-12-14T09:16:02,True,False
jonathan66,MWstMe,2020-10-23T16:31:32,False,True
heidi77,Vh,2020-03-06T12:56:24,False,True
sabrina89,JpSnXffYR,2021-09-24T09:54:07,False,True
adamrobbins,zXl,2020-05-24T14:09:04,True,True
fstark,gaVkjqsvN,2023-11-28T14:58:19,False,True
julie69,ltjfjI,2023-04-17T23:57:14,False,True
littlesteven,ZowXM,2023-08-13T15:46:15,True,False
christopher17,yIY,2023-06-06T07:07:30,True,False
ocastillo,JHvBbxRrq,2021-02-27T05:35:09,True,False
cherylpeters,RsGM,2021-07-11T19:16:12,False,True
anthonymichael,SHJMTlf,2024-02-18T05:35:09,False,True
ladams,GNlgImHOq,2021-06-20T14:32:38,False,True
jacksonrodney,aYFDlVM,2020-06-22T13:47:22,False,True
abigailevans,uv,2022-09-15T20:29:39,True,False
zromero,Wq,2020-03-06T18:50:52,False,True
andrew46,ZdewXQAkgq,2020-06-03T13:56:09,True,False
aparker,NHzoAlSKhu,2020-09-21T00:07:17,False,True
gmitchell,OFrZvpVN,2020-03-07T19:57:06,False,True
zromero,kcdsCtP,2023-03-12T21:31:41,False,True
xnunez,GH,2020-09-21T21:59:51,False,True
ralph60,CUQiuz,2022-08-05T19:12:24,True,False
julia91,cfgtEAyfFO,2023-06-22T17:03:10,True,False
diane75,JutXSYCp,2020-01-29T14:13:25,True,True
anthony33,CNikR,2022-10-29T07:56:25,True,True
leonjames,np,2020-10-27T07:49:18,False,True
cynthia90,JK,2022-06-26T10:09:42,False,True
stevenmorris,ssYsIPey,2020-03-09T06:30:15,False,True
robertsdaniel,VpDXosMck,2022-05-12T13:55:17,False,True
stephensbrittany,LfvkJYwH,2023-07-31T16:36:57,True,False
chrisbrown,UoJwbK,2020-08-14T00:27:26,True,True
cooperchristina,JqTt,2020-07-01T08:55:26,True,True
nelsonpatricia,mePTni,2021-02-20T01:59:18,False,True
johnscynthia,rdQuO,2021-03-19T19:08:52,True,True
gomezbarbara,IYF,2023-11-20T15:40:07,True,True
lsimmons,gx,2020-04-18T09:17:08,True,True
hlee,DddKGWAg,2022-11-10T02:06:25,False,True
omills,hhM,2022-06-24T17:11:04,False,True
michelle74,XPFNrPE,2020-11-24T04:29:57,False,True
williamsmark,al,2021-01-14T22:30:50,False,True
thomassantiago,Wia,2022-12-04T09:41:36,True,True
speters,Km,2022-09-21T05:43:39,True,False
jeffreydavis,OzpzqdtZ,2021-06-16T23:21:04,False,True
kyleroy,sBIkqT,2023-09-07T08:51:15,True,False
hcook,iWa,2020-05-02T05:26:29,True,True
nancybryan,IT,2023-04-03T03:55:11,True,True
robertbrown,cEgt,2022-02-13T09:34:28,False,True
loganford,iXIn,2023-04-17T02:37:28,False,True
brittneybarrett,tkyTctHCMF,2020-01-17T06:01:24,False,True
elizabeth23,pqrIVqpcC,2020-01-28T20:03:32,False,True
bthomas,gtZ,2021-06-22T09:52:27,True,False
cdiaz,SrI,2023-01-03T00:38:37,True,True
penningtonscott,oTEF,2020-09-14T00:54:44,False,True
figueroacharles,ifvEFv,2020-08-10T15:34:47,True,True
thenry,rTx,2020-10-11T10:13:20,False,True
jamie85,ciVNozErU,2021-05-17T09:36:51,False,True
sara34,um,2020-02-02T22:27:08,False,True
ptodd,MmiFlAslIk,2021-01-22T16:21:34,False,True
danielle28,VTDUUFF,2022-03-13T09:18:14,False,True
changjason,leZJWzNiO,2021-08-06T18:53:47,True,True
jackdavis,qcniZnuF,2022-03-21T20:49:41,False,True
debrapatterson,aTGiy,2023-02-20T22:05:54,True,True
lisa17,wuwjw,2022-10-22T08:34:18,True,False
cbrown,djBrlq,2024-01-12T13:43:15,False,True
xsimmons,CxpgfZxK,2021-01-31T10:06:36,False,True
charles46,DWqrZ,2022-06-03T03:08:40,False,True
ibailey,xLcoeUPYLM,2020-04-13T00:56:55,False,True
toddbowers,lTntakDvl,2023-09-20T18:37:48,True,True
jamie24,scHzrWOMq,2020-11-12T06:11:45,True,True
cortezanthony,xfD,2021-10-14T14:52:13,True,True
