UserTag,ChatId,Date,Hour,IsAdmin,MutedMentions
sethdaugherty,HhCIjeph,2023-06-02,00:59,False,False
michael71,TCuM,2022-01-11,22:47,False,False
roger29,qPpiMddya,2020-08-06,10:39,False,True
earl83,HyqAw,2022-05-15,15:00,False,True
jodyramirez,itpohcYDej,2020-03-06,08:29,True,True
brandi52,wezjs,2024-04-07,10:28,False,False
kingmichael,Jce,2022-11-12,07:12,True,False
cooperdave,YERLxPJg,2021-04-11,20:04,True,True
buchananjoseph,dDn,2022-03-08,17:47,True,True
woodsara,ccTRIytat,2023-07-06,08:41,True,True
william79,VMwlty,2022-06-12,22:46,False,False
yolanda16,HjkJpSAM,2024-04-12,16:14,True,True
hoffmanrebecca,DlxGJn,2023-01-15,20:17,True,False
smithmanuel,BrMVIU,2021-01-06,19:43,True,False
caleb58,wCUNC,2022-10-30,00:20,False,False
elizabeth22,IgcFUPUU,2020-03-25,18:44,True,True
tdavis,jBE,2020-02-09,06:49,True,False
awilson,vrfJtVtyWw,2020-08-13,12:13,True,True
nhodge,IMuBwIh,2023-02-05,06:27,True,False
gcross,meRpLJA,2021-10-15,12:41,False,True
lindaalexander,WKLaKS,2021-02-10,00:48,True,False
gutierreznicholas,ZezjGo,2020-03-18,10:49,False,True
vsalas,OZoondyQ,2022-10-18,07:59,False,True
anthonyadams,xRQfsvLB,2020-10-05,02:08,True,False
robertwright,bjBzsnulJ,2021-10-12,10:11,False,False
smithadrian,RmfEMVJGh,2023-01-21,14:25,True,False
kjordan,KjFhJtQmbl,2021-04-18,13:13,False,False
daledawson,WWcOgmHHqT,2021-06-11,22:36,True,True
martinezkimberly,ytftFhUgc,2022-12-14,03:46,True,False
kstevens,HBOZrdLHR,2020-11-29,07:57,False,False
rhonda57,VzrNIdq,2023-06-25,14:41,True,True
jcook,hBVy,2020-07-15,02:22,True,True
qanderson,lnGDkS,2020-02-18,01:23,True,False
dylan47,Sxfgsg,2021-10-10,23:04,True,False
bauerdaniel,zxrUkdEr,2023-10-02,19:30,False,True
james73,uSOlSY,2024-03-23,14:41,False,True
smithvictoria,LVF,2023-09-13,20:26,False,False
jessecobb,arrw,2023-03-26,06:18,True,False
gregory62,Mxgq,2022-09-23,15:27,True,False
daniel43,LCByTKXwZu,2021-06-28,03:28,True,False
qmoss,rEcGHL,2022-05-23,13:00,False,False
nancymendoza,IUDEl,2023-09-06,03:22,True,False
zacharybradley,BhW,2022-05-30,14:06,False,False
wolfeteresa,vilK,2023-04-05,11:08,True,True
mary39,ZmIuJ,2020-03-19,18:26,True,False
craighoffman,jPhU,2022-04-25,10:10,True,False
christopherbaker,ZLgxRsU,2021-12-08,08:37,True,False
monicaaustin,PiAz,2023-04-16,00:54,False,False
brownjackson,FYHkfGtmB,2024-02-11,03:57,False,False
shelby19,KMvqgXsywx,2023-07-03,17:44,True,True
ralph89,YuKoq,2021-03-24,04:15,True,True
danderson,enWL,2020-03-15,03:24,True,False
amycarroll,aFYMFiMY,2021-10-04,21:22,True,False
jordaneddie,kDdZzrL,2023-04-16,02:37,True,False
abigaildelgado,ah,2020-01-02,07:52,True,True
thomasramos,vCzCNvZKS,2021-11-17,23:50,True,True
jthomas,aLmHzpBq,2023-11-13,19:49,False,True
bauerjeremy,aLqHAWzmK,2021-11-15,02:19,True,False
christine40,AF,2022-01-18,17:37,False,True
blevinsmadison,VOtex,2020-07-19,13:17,True,False
ivanacosta,FlpcKmFqSF,2024-02-15,14:41,False,True
iking,te,2020-01-26,09:52,True,True
