UserTag,TweetId,ReplyToTweetId,TimeStamp
varias,MZq,VDRQTaM,2021-07-23
katelyn79,zMhXEDSDd,DKPOVEjejF,2024-04-09
jameshoward,CQIPiKANx,afBqrTj,2020-01-14
orozcojacob,AgoSlmaZVz,KgvYZikep,2024-03-31
howardtaylor,UZSmtgQ,bH,2024-03-22
rwagner,Zq,ynUpahitpY,2020-11-02
jennabradford,KxMJR,sMK,2020-07-23
markjohnson,UnlenDqN,vQFPvnz,2022-12-04
stephaniepearson,brkuhq,BagT,2021-01-03
josephgutierrez,VrjduPMKR,MlZVoMSS,2023-04-12
msmith,yN,CiG,2020-03-03
sanchezjennifer,sSVb,Lzi,2023-07-28
christina73,TobQ,bbzVWFHEz,2020-10-31
ashleyhouse,DnAlUbbL,mFJTpI,2021-01-18
joseph87,Zol,YtbulK,2022-03-05
xsimpson,bw,ReauxgZm,2022-11-01
marthablack,WPP,kxHSAaU,2020-10-26
carloliver,Xyv,HqfR,2020-02-04
frencheric,bZuUGRlJ,kHKhBnAyL,2020-11-25
debralambert,bzwgYYxm,UpjLH,2024-03-17
phuff,YWd,WHxNE,2020-05-13
sarahgardner,Ccd,dX,2021-07-26
michael95,OzeaHPK,Awp,2021-03-13
gomezdennis,Adp,HbUejo,2020-11-03
nwoods,itnMr,hAv,2022-01-28
mary94,LuuvuNZwBc,tQNC,2020-11-09
nicoleking,cLnBHx,PJlLWHThi,2023-04-18
amy00,SX,BQg,2024-03-11
qdavis,XjuTqAah,mptLa,2023-06-21
misty06,OITGns,BMVpGaB,2024-04-09
tom33,YK,KkzBHsoNts,2023-05-28
lopezchristopher,Wc,YmyH,2021-04-17
faith13,QP,zaDLMUM,2024-03-21
patriciagarcia,PvLbP,AyFelUvr,2020-10-10
zhenderson,QI,UuWrmWte,2023-07-07
david06,MlZVoMSS,Qri,2020-01-31
judithromero,gPSNFiG,rthgiS,2021-01-19
margaret33,PlSVlq,gIpbfk,2021-11-14
johnsonthomas,sLtwlRgcCV,HFAPioA,2021-06-29
alexandrawhite,oaIXe,UFBcg,2023-11-24
pearsonwilliam,vW,LMTH,2020-05-02
davidramsey,CFciyt,jmpVLKAJ,2023-02-14
blankenshipscott,Kfkl,vzvkj,2020-02-16
imendoza,Pjf,naikpikoB,2021-05-12
devonmartinez,qWhRPKQWxM,gDnDLsLc,2020-01-11
ywatkins,PFnVxKGPSQ,VvUOvDVAg,2020-10-26
rileyjohn,LHazprlU,jjlAB,2022-11-22
ashleywilson,gu,IxwyYAzu,2021-08-21
brichardson,CwYnhkX,xBpD,2022-02-14
kylemorris,HtqldpRm,mAkZA,2024-02-17
davidsonjoseph,Fozucn,QsTwl,2020-09-06
kmyers,NSFYM,zVKGSsnC,2021-11-14
ryan45,pmvU,mmrhRD,2023-05-20
pearsonbrenda,eFBC,LJLexBj,2022-12-05
juliemartin,SdhK,LzjVw,2020-03-25
marie08,ubUoOoYSA,ypy,2023-11-18
serranojesse,JFCIXy,EIWNwvDWmG,2023-12-11
april60,BBODhky,xxBN,2020-12-30
jacksonchristopher,oLzIpfil,shJqLKUBTA,2020-11-25
donaldleonard,feZ,EzFEm,2024-03-04
marywilliams,zTwGJ,MbcyxJ,2021-09-03
janemccarty,rYUcc,HzLS,2023-06-15
weavergregory,OV,eid,2023-11-17
gutierrezleonard,TLMV,EwEhp,2021-03-08
shawntorres,bhlDreMWF,SSIDsSIEK,2020-07-04
ronald47,wW,ebQnyWg,2022-01-20
bryanwolfe,ZKQHxW,ayQoj,2020-03-04
william73,YlhyaQNUvg,UQ,2022-12-13
kellyjill,mr,QYNr,2020-09-11
hmorgan,nGl,vEXYCzF,2021-07-02
qturner,WM,TTelt,2020-08-22
kristenferguson,ujSlAEP,SWWIPqsS,2020-07-16
perezjason,tAg,reRJ,2022-05-11
jessicawatson,eQmwdVD,drzuRD,2022-07-05
april96,kHKhBnAyL,JaYZnPaNvT,2023-06-21
wwright,ukltNHt,XL,2022-10-16
pam49,HaT,TvrBTZm,2021-02-18
cody41,JeFLjCHGUO,IGDf,2020-03-02
murphyjoshua,JQg,ZGcRYArh,2023-10-29
sweeneymichael,AZZevcssJH,GppXffye,2023-02-15
espinozabrandi,GthXnrMh,JubHWtAAED,2023-06-12
thomasjanet,HlYiIoYaNT,Uf,2023-07-19
smithmelissa,uNnMXGT,yQaqyn,2020-12-02
tdudley,ZIdl,poQawFrC,2020-03-09
timothy15,lcocYjEk,MLNYFl,2020-07-02
tracywoods,Gd,KDtXlofvcU,2022-10-11
otaylor,QtNCoXlNr,dbahHwwI,2023-06-04
wandadiaz,pWqGVbODe,kOhbcLaP,2022-04-21
ijones,xLTK,MSNNHkab,2021-06-17
kbarnes,EmPdyWiOaT,CwYnhkX,2024-03-06
coxolivia,ORZ,cOKliIkWc,2023-05-17
christinegates,ZKQHxW,BgFarQgG,2022-09-27
evanscolleen,uOj,BQuekD,2023-09-10
cynthiaanderson,KjCfKoKd,fYyUkmdA,2022-06-07
michaelcastillo,VhSFgcm,UbTTMX,2020-10-12
lucasmartinez,mr,BKCdn,2021-01-10
richard60,pLsC,UWQpqiwhWa,2021-07-18
bclark,nyYjiTw,qcd,2023-12-15
wryan,ruF,TaZOcBcfFC,2022-09-29
kimraymond,aZDwCg,LXCIHoL,2023-06-12
sarah06,wQheQXAb,CMEm,2022-08-05
nguyenmonica,JLCYNZ,yU,2024-02-06
nicolesutton,Au,ratddD,2023-09-04
danielmays,SRTjGiXndm,DVldj,2020-11-25
john17,goUqOAdA,hMMhMLbsk,2023-07-20
christyscott,CwvmMnN,hpdRLq,2021-07-27
zmunoz,VccdugPBUz,KHgID,2023-07-24
vmartin,Pmq,fCMfoIBoRV,2023-03-28
alexandriasmith,mYUo,MwEX,2023-07-22
rick15,fwkercBrH,QXh,2023-01-08
xtaylor,NfMOA,gxEcaglb,2021-03-07
browndavid,nXIaslsUK,yavTxLbEhL,2023-02-19
jgreen,AvwMGreh,tCu,2022-08-08
mariecain,lpA,CrwmuI,2020-08-02
alex21,LOvXN,dzmEaZEOJU,2023-04-20
sean75,oaOmdfgiU,aYfcUjZub,2020-09-06
christina33,xc,mWnIesZX,2021-12-10
christywarner,ieXFjgPKP,QxHqiI,2021-12-28
varias,GtNHCcfVpe,EmCdPAfa,2021-12-08
mgardner,oN,iSZtM,2021-01-16
april69,eEBZc,lDmlxff,2021-03-28
wilsonmichael,qdhasdik,LfqHCtOeMP,2021-04-07
benderamanda,fBwuC,cYPHcxQAS,2022-10-02
megananderson,jOAQSA,cFJv,2023-06-15
wardcynthia,DECZblUS,HxH,2023-05-02
tgraham,FVTwteMcT,SpAhrZYNS,2023-11-15
sandrablake,YNEFrUVfRS,wQUNJTC,2020-12-26
michaelfitzgerald,yMGLSATi,Cldp,2020-07-22
michaelsilva,ohGRukJeEO,MJtQZmx,2020-03-04
benjaminklein,ZW,RMEXfhWw,2021-07-26
mfisher,NfMOA,ZGgC,2022-11-17
william22,GmGLNgIbEG,CSf,2020-07-18
parkercarl,vngm,olMAUrgXv,2021-07-04
lisa66,Yzju,HLfEFa,2020-10-22
osanchez,xzeVsAhD,RBvnzgMXU,2020-10-31
cbenjamin,oHiPFqF,NLWoUrMQ,2020-07-20
carterjoshua,SKJfgdqvt,hh,2024-03-14
johngreen,ad,ymzjcpGeii,2022-08-31
barbara98,UnNRDn,JZwkB,2020-01-15
chandlercharles,Hu,XovNrwtdH,2024-01-14
jeffrey16,epVm,GwGM,2024-01-23
rileyomar,tmKFfBKclS,KkfUOLVdxy,2021-01-09
qcollins,Zl,QxHqiI,2022-11-27
marioyoung,yTfRahwla,Ccd,2022-12-05
rochacharles,oHiPFqF,yINipCxiTD,2020-08-28
aprilwilliams,HaT,JPUy,2020-03-27
ladams,HyTrGBhi,tOfPkl,2022-11-21
leonvincent,YHUMoVjUM,DgNdWQvu,2020-08-11
flarsen,EWffDx,nvrM,2021-06-05
dalvarez,ShOBVkko,vCAFINcaP,2023-09-28
jacksontracy,MOwgTNGoSG,khSPjmay,2022-05-19
michellereilly,mHxvzJ,xZwgk,2022-01-20
brendanwest,CaXYsIVij,MRSjg,2023-08-28
joelwalker,pgtL,XVoNVg,2023-10-18
daniel22,NopaLU,UNxNybBXh,2020-08-27
teresaodonnell,FScQLGgP,aGFY,2023-01-16
craig48,UoKWzhR,wglyiDb,2020-04-20
jennifercruz,YaPrE,sr,2022-12-31
stacy32,cZgxZ,vYSpUUZhsL,2022-08-19
hooverlaurie,gveASzUo,PJEi,2021-05-22
steven04,fIdPMqynx,pcOVWK,2021-11-05
dustinjackson,zrBRtB,fUyUBN,2021-07-05
bjennings,AK,mXcxIE,2020-03-03
josephhicks,Jkggxq,aO,2021-05-13
monicahess,qSNLGGrIl,FLGQQD,2023-11-17
