UserTag,TweetId,TimeStamp,HasMedia,HasPoll,Mentions
ohart,MDZ,2021-03-28,True,False,"aimee42,danieljackson,mathew99"
johnhamilton,OT,2023-05-16,False,False,"kristenmanning,jeffrey30,marshallalan"
ssmith,STDgFBaUSF,2022-08-18,True,False,"james30,keithflores,georgerobinson"
ethan42,DUl,2023-07-13,True,True,"debragarcia,terryamy,owatkins"
stephanie43,GIGQOenOG,2021-10-22,True,False,"jacob52,michaelerickson,kristinebrown"
gregory42,hnWJSD,2020-01-06,True,True,"yateserin,mariayoung,pporter"
stephanie59,tRpYffgwPw,2024-03-31,False,True,"jorgejones,tannerrichard,sconley"
kjohnson,uCcKgdGN,2023-05-27,False,False,"david86,williammedina,kelly42"
arthur64,wXVdEo,2023-02-09,True,True,"rodriguezanne,austinowens,santiagojason"
ralph60,qHy,2021-10-04,False,False,"slynch,markjohnson,margaret52"
lauraanderson,YQq,2021-05-16,True,False,"brandihenry,hensonfrank,samanthataylor"
boonejeffrey,UwinZ,2020-10-12,True,True,"judithwilliams,richbryan,bmiller"
clarkmelissa,XHdzOZ,2021-05-20,True,False,"erin87,nhartman,joshua76"
austinjoe,WluLMhs,2023-04-05,True,False,"destinyperez,brandon03,gwells"
gburns,hV,2021-02-07,True,False,"dennisrobinson,enavarro,rlarson"
kristina61,fIdPMqynx,2020-01-04,True,True,"espinozabrandi,kaylasellers,romerorhonda"
williambrandt,Hi,2020-03-23,True,True,"dpowell,opatterson,asteele"
juliebrown,XR,2021-01-29,True,False,"crussell,dwarren,vfry"
wrightwilliam,uNuI,2023-04-08,False,True,"jimmy25,thernandez,gary11"
claudianewman,QsFVEuFjV,2023-02-18,False,False,"feliciajames,parksshawn,hhansen"
wiseshannon,TXjFSmjP,2020-06-04,True,False,"traceyschultz,dchan,nmurillo"
loganbrandon,krqIZMwwi,2020-06-12,True,False,"marie48,ntravis,bkennedy"
dale45,vauA,2022-03-07,False,True,"jhawkins,carolinewong,scottlopez"
vcox,GrPkaQianN,2021-06-21,False,True,"anthonywalker,mary10,laurenford"
james84,rtY,2023-07-22,True,True,"clopez,lnunez,danielle42"
samantharay,EzFEm,2021-01-20,False,True,"reeveskatherine,wallacekayla,jessicawatson"
helen97,lBRceCLu,2024-01-12,True,False,"lisaday,virginiaabbott,andersonmatthew"
amy56,MAt,2023-05-25,True,True,"ashleybailey,briana81,lauren30"
gina04,kuOmgtW,2022-03-27,False,True,"qwilliams,danielknight,jonesrobert"
emily70,FWGsjssOm,2022-09-11,False,True,"xlittle,ashleyedwards,gmolina"
markjohnson,VCVia,2022-01-11,True,True,"pcruz,uberg,jacob77"
ununez,MREuQ,2020-02-29,True,False,"rachelstanley,wandadiaz,uchapman"
davidwelch,bZYD,2022-04-24,False,False,"lauriebyrd,brianwatson,matthew49"
simmonssamantha,fbqwKKahNB,2024-03-22,False,True,"philip94,wbarnes,robersonmarie"
stephen24,TFrMkFRnv,2020-07-30,True,True,"brett84,jennifersmith,uthomas"
rebeccaparks,iFkjmDRmn,2020-12-27,False,False,"ntravis,wilsonchristopher,qwalker"
rossjason,LXhlxLD,2023-12-28,False,False,"arthurwatson,angelarichard,nataliegray"
charles96,cS,2021-04-05,True,False,"danielknight,heather86,linda06"
hvaldez,cjWdIPp,2021-03-20,False,False,"kennethsmith,tanya10,sandra28"
cynthiaanderson,WCGrfZKH,2020-04-03,False,True,"peter86,ralphjames,fullersara"
haroldchapman,rfZHoWCN,2020-02-29,False,True,"xreyes,jennifer78,murraystacy"
vbaker,xISgk,2023-05-02,True,True,"catherine20,tvazquez,deniselawson"
angela15,BuhL,2021-07-05,False,False,"adamowens,danielmays,gregory44"
lisa21,Vcct,2022-11-01,False,True,"alexander84,usanders,tracidavis"
harrellkeith,ZtOM,2023-03-20,False,True,"melinda73,plong,jerrydonaldson"
parkslinda,tY,2022-08-21,True,False,"julie69,joshua54,roymckenzie"
michellebriggs,KBfeo,2021-04-14,False,True,"shannon23,wreynolds,kylemurillo"
njackson,EiRDtXv,2021-01-14,True,True,"richard32,terryduncan,gwells"
kkent,WDws,2020-10-29,True,False,"sara51,kayla07,danielhernandez"
kroberts,bNfWEbed,2021-06-02,False,False,"amandahernandez,pamela72,crystalwilliams"
joseph40,wrvs,2024-03-14,False,True,"aprilpena,scottchristopher,dylangarcia"
matthew54,cd,2023-08-07,False,True,"charles96,jacob99,wrightanthony"
luke46,DWcSS,2021-04-30,False,True,"catherinebrown,blanchardbrian,amandaknight"
vgriffin,MLfTfT,2022-10-27,False,False,"vicki21,courtneyturner,rebecca33"
iwells,gutXCy,2021-04-07,False,False,"theresa10,wallaceadam,karen83"
jacobmorris,UdSjSektO,2020-01-17,True,False,"cheryl53,joneselizabeth,josephjones"
codyortega,EySdynBv,2022-11-24,True,True,"rpittman,amber97,tsmith"
phernandez,xouXNrEb,2022-06-18,False,True,"goodmanrobert,juan08,ariley"
rosspaul,GvlPr,2022-10-25,False,False,"phubbard,michellereilly,fitzpatricknicole"
