UserTag,TweetId,ReplyToTweetId,TimeStamp
lisa29,lzl,PUutyO,2023-04-05T00:01:00
larry94,xGTH,EeDff,2024-03-27T00:00:00
batessarah,HfIaDHS,nij,2023-10-25T00:01:00
steve81,pwT,knyow,2024-03-07T00:00:00
molinadavid,hPnrhBu,gZcKFNRgbD,2020-12-23T00:01:00
joshua44,NlMsJainml,AJRopB,2023-10-04T00:00:00
michaelleonard,nZHV,fzOwubHY,2023-07-24T00:00:00
andrew81,zTS,eYheos,2023-08-27T00:01:00
jennifer08,gVB,NErox,2024-03-02T00:01:00
cindy86,GZkgZVMKl,mbWMhM,2020-08-07T00:00:00
mistyfrank,OkJWpaq,ZbbmF,2021-07-02T00:01:00
ivargas,hEweaZn,JG,2021-07-22T00:00:00
brandon26,avK,eDEDMfA,2023-07-24T00:01:00
erin91,zbwC,PfhlxvnK,2024-03-05T00:00:00
dean38,mWhXO,SIMQqbw,2021-02-17T00:01:00
michael01,ys,XiJaudh,2020-07-01T00:01:00
icasey,YoS,JqkzMapy,2022-06-11T00:01:00
klee,KZUlhbbF,IzcLB,2022-04-30T00:00:00
kevinellis,YVGZpp,ic,2021-03-19T00:01:00
yjordan,WYQ,Ll,2023-02-26T00:01:00
lori42,fBLpKCvFT,ANrNZarsRQ,2023-07-11T00:01:00
bday,YfJ,MwjZxZeNr,2022-10-11T00:00:00
joel85,BxLOwLcPV,zDx,2023-06-26T00:00:00
hestermartha,Tjxad,cBvyFVKOo,2022-12-05T00:00:00
judith44,OFTqs,qP,2022-10-10T00:01:00
webbbrandon,pjlZxvW,ZCEiiyrdt,2022-01-06T00:01:00
fhenderson,AVBImjckO,DC,2023-05-13T00:00:00
smartinez,hjSqObuwR,RHoMssLxy,2023-01-18T00:01:00
taylorlisa,lieUEozOz,EcZtA,2022-08-14T00:00:00
collinsmarisa,DCHckRnKAQ,TlYMPM,2022-06-26T00:00:00
hubbardkatherine,sDvrlKNMzQ,tiGfzo,2022-11-05T00:00:00
kenneth29,IF,FuncBGzIjo,2022-09-01T00:01:00
johnsoncolin,WDdqJpLfvQ,flGbKbA,2023-10-26T00:00:00
bcaldwell,UnHcKnd,LmJKi,2024-01-08T00:00:00
khorne,jwzDXqmxoG,jwzDXqmxoG,2024-03-06T00:01:00
sabrinadecker,KTe,YlJtEYq,2022-10-20T00:00:00
maria63,HndN,QtAklB,2021-09-12T00:00:00
christinesmith,qH,ISV,2022-04-18T00:00:00
ashley08,SfQHGu,UUp,2022-02-15T00:00:00
benjamin64,sBhNKdYPH,ZhqEDE,2022-02-18T00:01:00
jennifer08,Fq,GxyJPXu,2023-07-17T00:00:00
daviddoyle,LOFSY,FrVmzaRlR,2024-04-06T00:00:00
ashleysanders,DnUyNKMj,vjOhimIKl,2020-11-16T00:00:00
zwilson,bkU,FHMrPI,2024-01-04T00:01:00
jacob74,jLQ,SZyVf,2023-08-06T00:01:00
benjamin69,gxpZtUzZ,yy,2022-08-02T00:00:00
cgrimes,DNwANWMZSk,AO,2023-11-05T00:01:00
gilbertkyle,zkauI,nHZjbIWsIl,2023-08-19T00:00:00
sandrawatkins,XifNBS,OAatPm,2024-03-03T00:00:00
bharris,AkQy,AaCi,2023-08-13T00:01:00
alexander31,jvvlZLoHKl,Yxxr,2023-06-01T00:00:00
johnmyers,ijvdUvud,vh,2023-10-25T00:00:00
dwaynemullins,WoixAh,bAwzGlaRaS,2023-11-25T00:01:00
joseph89,wWN,wGpML,2021-06-18T00:01:00
brandontodd,iOkYcLhhPm,GbjhNOUK,2021-11-13T00:00:00
meghan21,SQe,jGdZJgEhKS,2024-01-03T00:01:00
donaldnelson,PIojhdtdI,EWDGitKVwY,2021-04-07T00:00:00
mark94,pGymxHQjn,jScA,2024-02-24T00:00:00
megan22,FBoYIonpn,ZhurvjWCC,2023-02-19T00:00:00
ralphwalker,qmeKVGcrs,FQ,2020-07-02T00:01:00
nbarr,ZjbvIw,aVKJYDus,2021-02-05T00:01:00
jonathonbrown,YRl,vory,2023-10-06T00:01:00
quinnmatthew,kTmNHJkn,dizapzk,2023-04-04T00:01:00
sarah95,bjtpncVLY,JG,2023-05-08T00:01:00
mike35,SfXL,yQknvEyk,2022-01-13T00:01:00
tonyapatel,TDHXJwc,nALcaD,2021-06-17T00:01:00
joel13,zzoBFbESVp,aEQkz,2023-01-19T00:01:00
poolechristopher,KjoAYZ,BMBCXhNtm,2024-02-23T00:01:00
pmcdonald,UrUQALof,XkZqoHAZ,2023-06-09T00:01:00
christensenstephanie,NgaeM,RHlNon,2021-08-14T00:00:00
leecheryl,iptZlUMJf,UPdcJD,2022-12-28T00:01:00
peterspears,qP,Ope,2021-09-30T00:01:00
davisleah,EfgyWQptB,fBLpKCvFT,2023-12-10T00:01:00
scannon,QeSqQHYcZ,ru,2021-10-08T00:00:00
robert03,vKzCdWBqYL,vyZqBc,2021-10-25T00:00:00
lisachapman,INPJC,eCyxr,2023-05-12T00:01:00
wilsonlori,emKARC,kzP,2023-07-02T00:01:00
lindagreen,VpC,waiyEzjku,2020-11-11T00:00:00
sara02,yGk,hWSiXftA,2023-01-26T00:01:00
cruzlauren,kzLlqwi,Us,2024-04-12T00:00:00
whitemelissa,eNwzCRibmx,XTYQPZZ,2022-03-27T00:00:00
rhonda07,kpdxspjFpT,KUVbnJEJex,2023-03-26T00:01:00
mwillis,xeIRjJ,XwZoWS,2024-01-28T00:00:00
martharose,lLmKwSPN,SNSHvuwsg,2024-03-21T00:01:00
herreraaudrey,uAphhDZfMg,twaFYXosLE,2024-01-08T00:00:00
hburch,VFKOjR,jKMsFsyjql,2023-01-27T00:01:00
zjohnson,PYndpOn,WiDl,2023-07-26T00:00:00
ashley25,GUJ,TJWKNwqOr,2024-02-24T00:00:00
buchananashley,QXX,YhVm,2023-07-22T00:00:00
robert58,dwz,bLD,2022-01-18T00:00:00
charles56,YhiUKkjzv,Ri,2024-01-21T00:01:00
harrisbrenda,RWWBCh,FrVmzaRlR,2021-07-18T00:00:00
henry18,ntVDnr,BxssybC,2021-05-11T00:00:00
clarkdwayne,Tnx,ywxXZQYj,2022-06-11T00:00:00
jessica95,UTHqkpnImU,EdCWnGGSnr,2021-07-22T00:00:00
richard60,eaMEAnOZh,EIEwXvH,2023-10-22T00:00:00
jeremydominguez,fuQgaPc,sFWZ,2023-12-19T00:01:00
matthewmendoza,IbFQf,hfCiu,2022-09-05T00:01:00
kreynolds,ngBmrp,ukXk,2020-09-29T00:00:00
michaelkeith,sqQlhJIj,unh,2021-07-01T00:01:00
williamsthomas,TZRZ,AcjKKSdU,2023-05-18T00:01:00
kenneth21,UDNQxtui,PZJbwgKaV,2024-01-15T00:00:00
yangmonica,ZRIbKAPszl,Dw,2022-12-08T00:01:00
teresavaughn,ebjpDJn,WGk,2023-08-03T00:00:00
lisa46,Qtb,rWsYhFIGfq,2022-09-12T00:00:00
hsimon,oGX,czKHVO,2023-11-30T00:01:00
rileyherman,KnpBuSAxEf,ClOaaTOwj,2022-08-13T00:00:00
zmann,vory,DTnhc,2023-05-29T00:00:00
james15,ZR,kSDLQ,2022-03-18T00:00:00
igarcia,IWgN,kfUNVOnvZ,2022-11-21T00:00:00
andrea48,IjDJxx,lVtg,2023-08-18T00:00:00
xmartin,KmYc,qLrHvikmJ,2023-12-24T00:00:00
jessicamarshall,vlstphE,ndEbn,2021-05-14T00:01:00
sandrahernandez,HQzioFzRs,yp,2023-09-11T00:00:00
mnielsen,UsagPt,UpEVp,2023-08-03T00:01:00
larsonkirk,aNJpeYK,HtXcGd,2023-09-04T00:00:00
eyoung,xCdxTvAp,pGDpZuCeix,2023-02-23T00:01:00
josepholiver,EnACwqx,sVmN,2022-08-15T00:01:00
austincollins,lpf,wFxHDqTREX,2023-12-31T00:00:00
pamelarodriguez,qEyFE,tbwfHGJ,2023-05-02T00:01:00
heatherfisher,ZnBB,oaI,2022-04-12T00:00:00
haileytapia,qnfTb,LCyvPSLjVM,2023-02-28T00:00:00
tricia41,CIzfl,QTrKjwumJ,2020-11-19T00:00:00
smithsherry,lanMs,snCDLjS,2022-09-29T00:00:00
thomassparks,NyeQ,qxkxk,2023-05-07T00:00:00
richard44,OiEo,Mm,2022-10-12T00:00:00
emily81,ltSk,KC,2024-03-21T00:00:00
danacross,zkNtiOnfq,fqpeGNLWn,2021-01-21T00:00:00
bushjose,JiKSqPBxI,sXNUlRJ,2021-04-12T00:00:00
charles25,lmuwH,mQHs,2021-03-31T00:00:00
vevans,cVAaWT,cNV,2021-02-20T00:00:00
troy37,lwcsSjcS,eoUK,2023-10-04T00:01:00
duranphillip,aqXdxF,nvaLxzlePv,2023-11-22T00:01:00
jessica11,VZVL,DMFOjpx,2022-02-10T00:01:00
andrew34,FT,pDVRKV,2023-03-03T00:00:00
ericobrien,JjOuZHD,fQBSPcLmQ,2020-04-25T00:01:00
julierose,DnUyNKMj,hbIKgB,2024-02-08T00:00:00
andrewschristian,BRVFu,ghO,2023-07-16T00:00:00
carly14,ZUT,nfLUSdBV,2022-05-12T00:01:00
ttorres,xrVns,mG,2023-05-04T00:01:00
cynthiahenderson,Lwnus,jGmYbqkIVz,2020-10-13T00:00:00
rubiojames,Wz,MfXqH,2021-03-21T00:00:00
kwoods,UDuKwfShdH,oKCf,2021-08-26T00:01:00
brucehernandez,xfoen,UdGCm,2023-07-22T00:01:00
christinerogers,PyGAE,VimUiv,2024-03-19T00:01:00
joseph93,bzpz,IMazbGlRCt,2023-10-17T00:00:00
larellano,KDkyJmQZrv,Hh,2024-03-30T00:01:00
evelynsims,ipRPAqaKu,HqDTanh,2023-03-04T00:00:00
vfisher,VByfyt,Ikd,2021-09-24T00:00:00
shill,pYkqVpUg,rYOFNhx,2023-10-07T00:01:00
cburgess,du,jdR,2023-04-11T00:00:00
juliamclaughlin,VQfVWlhAK,CeGuklgvgD,2023-08-27T00:00:00
ahicks,vnSYWidb,tUU,2023-12-01T00:01:00
eric63,XKydh,fuQgaPc,2023-11-07T00:00:00
marshallangela,KUVbnJEJex,mpJmCrvQFx,2022-05-30T00:01:00
cyoung,XPs,bofHQ,2021-06-20T00:01:00
teresachan,dTdtzEAsVh,lZkgGpfln,2022-07-21T00:01:00
hayneskathleen,aNJpeYK,Fpgwx,2023-03-07T00:00:00
robertwelch,VJAwX,TlYMPM,2024-04-09T00:00:00
youngchristine,vhLnzIRAw,hBFgCSP,2023-10-04T00:01:00
parrishmichael,uS,YGclkISApm,2023-08-24T00:01:00
hunterjane,xrR,PNAsUMY,2020-10-23T00:00:00
grahamphillip,MXNwTwIkGV,rM,2022-06-25T00:01:00
amberhernandez,KTgQvPgnx,TaEKTff,2022-09-05T00:01:00
blevinsbrandon,yNHgp,EgdlPUHmZz,2023-10-10T00:00:00
simmonsdarryl,yHPrOK,in,2020-12-01T00:01:00
martinmatthew,nzAycjObqq,wCzTFB,2023-05-08T00:01:00
joshua25,lZkgGpfln,deWa,2024-02-28T00:00:00
igarcia,sBdXe,kyhdQUq,2023-06-22T00:00:00
staciestanley,ghO,kzP,2023-06-30T00:00:00
michelle45,lo,AmURClYU,2024-01-16T00:01:00
padillaadrienne,rBFNXRZhI,yN,2020-07-10T00:01:00
cgarcia,zYzHxpsy,ZwJp,2022-08-21T00:01:00
sarahrobertson,WN,OJbJ,2022-12-04T00:00:00
dellis,DVNtXjuOP,TSVpN,2023-05-29T00:01:00
johnsontiffany,mDwkYqUC,AQG,2022-11-19T00:00:00
davisrobert,ZNEBkTV,vWXJoc,2021-09-17T00:00:00
katiethornton,mOlYWkF,Ll,2021-10-29T00:01:00
bradley34,ahuu,dQsKWl,2021-01-28T00:00:00
yoderkathleen,eYaAIe,FaJJyedBFi,2021-06-03T00:00:00
swest,AJJbthwJKi,qLlmNTr,2022-09-24T00:01:00
howard25,sxuSqtc,Lwfgyzb,2022-03-31T00:01:00
randywalton,OqAcvjtfbd,htjBFADzHt,2023-12-21T00:00:00
shirley44,gAkSAuQRq,yApNZl,2021-12-01T00:00:00
wendybarron,qTUoPCb,ghQQk,2024-01-25T00:01:00
paulajohnson,UtE,zcVfwTLqku,2023-04-27T00:00:00
john25,raF,mksWyg,2023-04-17T00:00:00
gonzalezcatherine,IRUai,qXdIGMPCCX,2021-04-12T00:01:00
jacob19,rvR,xJqp,2021-06-23T00:01:00
ygreen,ajgNuiUh,TRm,2021-01-13T00:01:00
stevenevans,RcJNqoiQFq,YhVm,2022-02-17T00:00:00
joshua25,hIl,fubalHp,2021-04-09T00:00:00
upeters,QNzbf,jVTFIBvvim,2022-04-07T00:00:00
richardmurphy,PtZLdQC,ugIXgLwTA,2023-05-06T00:00:00
stacypace,TtA,tDSURunpi,2020-07-26T00:01:00
laurenrowe,qoUGEOYEQS,HRg,2022-04-12T00:01:00
smithjanice,sFWZ,HQ,2023-07-31T00:01:00
brandon10,ppoaBgVTj,jANsyHdW,2022-04-26T00:00:00
virginia68,doxiiTDS,hQPu,2023-12-16T00:01:00
kaylamoss,YHPi,yfeQLAKe,2021-06-10T00:00:00
ryancraig,Jateqj,BRzZeh,2020-08-29T00:00:00
isalinas,PlCNmIo,oPWEyl,2023-06-24T00:01:00
sparksjeremy,UQtZyiS,vbWkb,2022-09-16T00:01:00
huntmallory,fyznGzfTn,BfGUqRd,2023-02-11T00:01:00
jessicaramirez,Vd,yBaYI,2022-01-24T00:01:00
melissasmall,riSKnNXLxb,wVD,2020-12-13T00:01:00
robertdaniels,TVrAG,LcPLDqgv,2022-01-20T00:01:00
browncrystal,pnkIDs,nfGkIlRoS,2023-08-25T00:00:00
tvaldez,BviGvCxa,bdO,2024-02-19T00:01:00
kentsmith,MnSnqCzYf,hvhNcQx,2023-08-10T00:00:00
thomas81,XPs,xSZAFlOFg,2021-06-20T00:01:00
moorechristine,FLEnQlr,XMJ,2024-02-25T00:00:00
davisjeremy,sELvlJRxM,zYhcfaXZeT,2023-08-18T00:01:00
jamie55,uFcro,VwSZOWT,2023-09-25T00:00:00
operez,qhoBxHGI,ASKLioVLa,2023-12-28T00:00:00
mball,bwym,BIhClvwaQ,2023-07-09T00:00:00
saramitchell,ugxhzPwG,esBQscITf,2023-03-09T00:00:00
jbutler,bzgFnthU,HsiQKI,2023-06-23T00:01:00
harmonthomas,PVdYhpg,qm,2023-11-17T00:00:00
rivasvictoria,jJHERYyiaN,zmeIal,2024-03-11T00:01:00
john96,SnMVJvlqP,kB,2023-11-28T00:01:00
swalker,QXVDCUM,DYBjMiGtVy,2023-12-03T00:00:00
stephensonzachary,SLnkybsWEV,ktubIHvOjM,2023-12-25T00:00:00
brooksaudrey,POcxkejxJK,KBjIdiXDFJ,2023-08-08T00:01:00
briannacarey,TGWu,VECoUgwn,2023-05-13T00:01:00
davidsanchez,bLOu,UZ,2024-02-06T00:00:00
pittmankendra,SskUN,EgDCxicm,2024-01-06T00:00:00
qwagner,BBuhiKw,nI,2021-09-04T00:01:00
jasmine71,IuTtn,GsnpKy,2022-09-22T00:00:00
robinsonevelyn,BrYLDbiL,XbNOJqcIV,2023-08-16T00:00:00
patrickcrane,QgYFU,jKR,2023-07-04T00:00:00
